Created as New Dataset,Sample 008 By Administrator Date Thursday, October 16 2025
cm-1,%T
3650.00,100.31
3649.00,99.66
3648.00,98.66
3647.00,97.93
3646.00,97.66
3645.00,97.56
3644.00,97.43
3643.00,97.27
3642.00,97.20
3641.00,97.20
3640.00,97.19
3639.00,97.20
3638.00,97.28
3637.00,97.43
3636.00,97.54
3635.00,97.61
3634.00,97.69
3633.00,97.79
3632.00,97.93
3631.00,98.15
3630.00,98.35
3629.00,98.31
3628.00,98.02
3627.00,97.73
3626.00,97.57
3625.00,97.54
3624.00,97.63
3623.00,97.81
3622.00,98.09
3621.00,98.37
3620.00,98.50
3619.00,98.35
3618.00,98.03
3617.00,97.71
3616.00,97.50
3615.00,97.45
3614.00,97.61
3613.00,97.88
3612.00,98.06
3611.00,97.99
3610.00,97.72
3609.00,97.42
3608.00,97.29
3607.00,97.32
3606.00,97.40
3605.00,97.38
3604.00,97.17
3603.00,96.85
3602.00,96.59
3601.00,96.53
3600.00,96.67
3599.00,96.91
3598.00,97.13
3597.00,97.30
3596.00,97.39
3595.00,97.44
3594.00,97.49
3593.00,97.57
3592.00,97.62
3591.00,97.57
3590.00,97.42
3589.00,97.32
3588.00,97.34
3587.00,97.45
3586.00,97.52
3585.00,97.49
3584.00,97.37
3583.00,97.24
3582.00,97.16
3581.00,97.12
3580.00,97.08
3579.00,97.04
3578.00,96.99
3577.00,96.97
3576.00,96.97
3575.00,97.03
3574.00,97.15
3573.00,97.32
3572.00,97.50
3571.00,97.62
3570.00,97.62
3569.00,97.51
3568.00,97.34
3567.00,97.21
3566.00,97.20
3565.00,97.26
3564.00,97.28
3563.00,97.24
3562.00,97.20
3561.00,97.21
3560.00,97.23
3559.00,97.24
3558.00,97.24
3557.00,97.24
3556.00,97.18
3555.00,97.03
3554.00,96.86
3553.00,96.80
3552.00,96.92
3551.00,97.11
3550.00,97.23
3549.00,97.21
3548.00,97.11
3547.00,97.02
3546.00,96.99
3545.00,97.02
3544.00,97.09
3543.00,97.16
3542.00,97.22
3541.00,97.24
3540.00,97.22
3539.00,97.17
3538.00,97.11
3537.00,97.09
3536.00,97.14
3535.00,97.21
3534.00,97.24
3533.00,97.18
3532.00,97.06
3531.00,96.93
3530.00,96.83
3529.00,96.81
3528.00,96.88
3527.00,97.00
3526.00,97.07
3525.00,97.05
3524.00,97.00
3523.00,97.01
3522.00,97.08
3521.00,97.14
3520.00,97.14
3519.00,97.12
3518.00,97.12
3517.00,97.15
3516.00,97.15
3515.00,97.13
3514.00,97.08
3513.00,97.03
3512.00,96.96
3511.00,96.90
3510.00,96.92
3509.00,97.02
3508.00,97.13
3507.00,97.13
3506.00,97.00
3505.00,96.85
3504.00,96.80
3503.00,96.89
3502.00,97.06
3501.00,97.18
3500.00,97.19
3499.00,97.12
3498.00,97.02
3497.00,96.97
3496.00,96.99
3495.00,97.05
3494.00,97.10
3493.00,97.12
3492.00,97.10
3491.00,97.05
3490.00,97.00
3489.00,96.96
3488.00,96.98
3487.00,97.04
3486.00,97.08
3485.00,97.04
3484.00,96.95
3483.00,96.87
3482.00,96.88
3481.00,96.97
3480.00,97.07
3479.00,97.12
3478.00,97.09
3477.00,97.03
3476.00,96.99
3475.00,96.98
3474.00,97.01
3473.00,97.04
3472.00,97.05
3471.00,97.05
3470.00,97.03
3469.00,97.02
3468.00,97.01
3467.00,97.02
3466.00,97.02
3465.00,97.01
3464.00,96.97
3463.00,96.94
3462.00,96.96
3461.00,97.01
3460.00,97.05
3459.00,97.06
3458.00,97.05
3457.00,97.03
3456.00,97.03
3455.00,97.04
3454.00,97.04
3453.00,97.06
3452.00,97.06
3451.00,97.02
3450.00,96.93
3449.00,96.80
3448.00,96.73
3447.00,96.78
3446.00,96.90
3445.00,96.99
3444.00,96.98
3443.00,96.95
3442.00,96.97
3441.00,97.02
3440.00,97.06
3439.00,97.05
3438.00,97.04
3437.00,97.03
3436.00,97.03
3435.00,97.02
3434.00,97.01
3433.00,97.00
3432.00,96.99
3431.00,96.99
3430.00,96.99
3429.00,97.01
3428.00,97.01
3427.00,97.02
3426.00,97.02
3425.00,97.02
3424.00,96.97
3423.00,96.91
3422.00,96.87
3421.00,96.88
3420.00,96.94
3419.00,97.00
3418.00,97.03
3417.00,97.04
3416.00,97.03
3415.00,97.02
3414.00,97.02
3413.00,97.02
3412.00,97.01
3411.00,97.00
3410.00,97.00
3409.00,97.01
3408.00,97.01
3407.00,97.01
3406.00,97.01
3405.00,97.00
3404.00,97.00
3403.00,97.00
3402.00,97.01
3401.00,97.02
3400.00,97.01
3399.00,96.98
3398.00,96.97
3397.00,96.98
3396.00,96.99
3395.00,96.97
3394.00,96.94
3393.00,96.93
3392.00,96.97
3391.00,97.01
3390.00,97.04
3389.00,97.03
3388.00,97.01
3387.00,96.98
3386.00,96.97
3385.00,96.98
3384.00,97.01
3383.00,97.03
3382.00,97.04
3381.00,97.04
3380.00,97.03
3379.00,97.03
3378.00,97.03
