Created as New Dataset,Sample 002 By Administrator Date Monday, October 13 2025
cm-1,%T
3649.00,89.26
3648.00,87.14
3647.00,84.72
3646.00,82.13
3645.00,79.48
3644.00,76.87
3643.00,74.33
3642.00,71.81
3641.00,69.27
3640.00,66.78
3639.00,64.44
3638.00,62.26
3637.00,60.04
3636.00,57.66
3635.00,55.22
3634.00,52.95
3633.00,50.91
3632.00,48.94
3631.00,47.00
3630.00,45.31
3629.00,44.07
3628.00,43.18
3627.00,42.51
3626.00,42.08
3625.00,42.11
3624.00,42.92
3623.00,44.67
3622.00,47.14
3621.00,49.77
3620.00,52.17
3619.00,54.46
3618.00,57.38
3617.00,61.61
3616.00,66.87
3615.00,71.60
3614.00,73.67
3613.00,72.01
3612.00,67.35
3611.00,61.62
3610.00,56.63
3609.00,53.26
3608.00,51.34
3607.00,50.19
3606.00,49.32
3605.00,48.49
3604.00,47.70
3603.00,47.17
3602.00,47.16
3601.00,47.64
3600.00,48.22
3599.00,48.62
3598.00,49.02
3597.00,49.80
3596.00,50.95
3595.00,52.16
3594.00,53.29
3593.00,54.60
3592.00,56.37
3591.00,58.56
3590.00,60.88
3589.00,63.05
3588.00,65.06
3587.00,67.08
3586.00,69.35
3585.00,71.90
3584.00,74.42
3583.00,76.54
3582.00,78.09
3581.00,79.22
3580.00,80.03
3579.00,80.47
3578.00,80.50
3577.00,80.27
3576.00,80.03
3575.00,80.03
3574.00,80.28
3573.00,80.66
3572.00,81.03
3571.00,81.34
3570.00,81.64
3569.00,82.07
3568.00,82.64
3567.00,83.29
3566.00,83.98
3565.00,84.77
3564.00,85.67
3563.00,86.58
3562.00,87.40
3561.00,88.16
3560.00,88.92
3559.00,89.68
3558.00,90.44
3557.00,91.19
3556.00,91.91
3555.00,92.58
3554.00,93.20
3553.00,93.79
3552.00,94.34
3551.00,94.81
3550.00,95.21
3549.00,95.56
3548.00,95.89
3547.00,96.23
3546.00,96.56
3545.00,96.85
3544.00,97.13
3543.00,97.38
3542.00,97.62
3541.00,97.87
3540.00,98.12
3539.00,98.37
3538.00,98.62
3537.00,98.87
3536.00,99.10
3535.00,99.34
3534.00,99.58
3533.00,99.85
3532.00,100.15
3531.00,100.45
3530.00,100.70
3529.00,100.87
3528.00,100.91
3527.00,100.83
3526.00,100.69
3525.00,100.54
3524.00,100.43
3523.00,100.33
3522.00,100.23
3521.00,100.14
3520.00,100.07
3519.00,100.04
3518.00,100.04
3517.00,100.05
3516.00,100.07
3515.00,100.09
3514.00,100.13
3513.00,100.19
3512.00,100.27
3511.00,100.35
3510.00,100.43
3509.00,100.50
3508.00,100.56
3507.00,100.64
3506.00,100.73
3505.00,100.85
3504.00,100.96
3503.00,101.04
3502.00,101.07
3501.00,101.08
3500.00,101.11
3499.00,101.16
3498.00,101.23
3497.00,101.29
3496.00,101.33
3495.00,101.35
3494.00,101.35
3493.00,101.35
3492.00,101.37
3491.00,101.41
3490.00,101.45
3489.00,101.49
3488.00,101.51
3487.00,101.51
3486.00,101.50
3485.00,101.51
3484.00,101.54
3483.00,101.58
3482.00,101.60
3481.00,101.60
3480.00,101.58
3479.00,101.56
3478.00,101.55
3477.00,101.56
3476.00,101.57
3475.00,101.58
3474.00,101.57
3473.00,101.57
3472.00,101.56
3471.00,101.57
3470.00,101.58
3469.00,101.59
3468.00,101.61
3467.00,101.62
3466.00,101.63
3465.00,101.64
3464.00,101.66
3463.00,101.67
3462.00,101.67
3461.00,101.66
3460.00,101.64
3459.00,101.62
3458.00,101.61
3457.00,101.62
3456.00,101.63
3455.00,101.64
3454.00,101.64
3453.00,101.65
3452.00,101.65
3451.00,101.66
3450.00,101.68
3449.00,101.72
3448.00,101.75
3447.00,101.76
3446.00,101.74
3445.00,101.70
3444.00,101.68
3443.00,101.67
3442.00,101.68
3441.00,101.67
3440.00,101.66
3439.00,101.64
3438.00,101.63
3437.00,101.64
3436.00,101.64
3435.00,101.65
3434.00,101.65
3433.00,101.66
3432.00,101.66
3431.00,101.66
3430.00,101.66
3429.00,101.66
3428.00,101.66
3427.00,101.65
3426.00,101.65
3425.00,101.66
3424.00,101.67
3423.00,101.69
3422.00,101.71
3421.00,101.72
3420.00,101.72
3419.00,101.69
3418.00,101.66
3417.00,101.64
3416.00,101.64
3415.00,101.64
3414.00,101.64
3413.00,101.64
3412.00,101.64
3411.00,101.64
3410.00,101.64
3409.00,101.65
3408.00,101.65
3407.00,101.65
3406.00,101.65
3405.00,101.64
3404.00,101.64
3403.00,101.64
3402.00,101.64
3401.00,101.64
3400.00,101.64
3399.00,101.64
3398.00,101.64
3397.00,101.64
3396.00,101.65
3395.00,101.66
3394.00,101.66
3393.00,101.67
3392.00,101.67
3391.00,101.66
3390.00,101.65
3389.00,101.64
3388.00,101.64
3387.00,101.65
3386.00,101.65
3385.00,101.65
3384.00,101.65
3383.00,101.64
3382.00,101.63
3381.00,101.63
3380.00,101.63
3379.00,101.63
3378.00,101.63
3377.00,101.63
3376.00,101.62
3375.00,101.62
3374.00,101.62
3373.00,101.62
3372.00,101.61
3371.00,101.60
3370.00,101.60
3369.00,101.61
3368.00,101.62
3367.00,101.64
3366.00,101.65
3365.00,101.65
3364.00,101.65
3363.00,101.64
3362.00,101.63
3361.00,101.62
3360.00,101.61
3359.00,101.60
3358.00,101.59
3357.00,101.59
3356.00,101.59
3355.00,101.59
3354.00,101.59
3353.00,101.60
3352.00,101.61
3351.00,101.61
3350.00,101.62
3349.00,101.62
3348.00,101.62
3347.00,101.62
3346.00,101.62
3345.00,101.63
3344.00,101.63
3343.00,101.62
3342.00,101.61
3341.00,101.61
3340.00,101.61
3339.00,101.62
3338.00,101.64
3337.00,101.66
3336.00,101.66
3335.00,101.65
3334.00,101.64
3333.00,101.63
3332.00,101.62
3331.00,101.62
3330.00,101.62
3329.00,101.63
3328.00,101.63
3327.00,101.64
3326.00,101.63
3325.00,101.63
3324.00,101.63
3323.00,101.63
3322.00,101.62
3321.00,101.62
3320.00,101.63
3319.00,101.64
3318.00,101.64
3317.00,101.63
3316.00,101.63
3315.00,101.63
3314.00,101.64
3313.00,101.65
3312.00,101.65
3311.00,101.65
3310.00,101.65
3309.00,101.65
3308.00,101.64
3307.00,101.62
3306.00,101.60
3305.00,101.60
3304.00,101.61
3303.00,101.62
3302.00,101.62
3301.00,101.61
3300.00,101.61
3299.00,101.61
3298.00,101.62
3297.00,101.62
3296.00,101.63
3295.00,101.63
3294.00,101.64
3293.00,101.64
3292.00,101.65
3291.00,101.64
3290.00,101.64
3289.00,101.64
3288.00,101.65
3287.00,101.64
3286.00,101.64
3285.00,101.64
3284.00,101.64
3283.00,101.63
3282.00,101.63
3281.00,101.64
3280.00,101.64
3279.00,101.65
3278.00,101.66
3277.00,101.68
3276.00,101.69
3275.00,101.69
3274.00,101.69
3273.00,101.67
3272.00,101.65
3271.00,101.64
3270.00,101.62
3269.00,101.62
3268.00,101.63
3267.00,101.64
3266.00,101.65
3265.00,101.65
3264.00,101.65
3263.00,101.64
3262.00,101.64
3261.00,101.65
3260.00,101.65
3259.00,101.66
3258.00,101.66
3257.00,101.66
3256.00,101.66
3255.00,101.66
3254.00,101.66
3253.00,101.65
3252.00,101.64
3251.00,101.63
3250.00,101.63
3249.00,101.63
3248.00,101.64
3247.00,101.65
3246.00,101.67
3245.00,101.67
3244.00,101.67
3243.00,101.66
3242.00,101.65
3241.00,101.65
3240.00,101.65
3239.00,101.65
3238.00,101.65
3237.00,101.65
3236.00,101.64
3235.00,101.63
3234.00,101.63
3233.00,101.63
3232.00,101.63
3231.00,101.63
3230.00,101.64
3229.00,101.64
3228.00,101.64
3227.00,101.64
3226.00,101.63
3225.00,101.63
3224.00,101.63
3223.00,101.63
3222.00,101.64
3221.00,101.65
3220.00,101.66
3219.00,101.66
3218.00,101.65
3217.00,101.65
3216.00,101.65
3215.00,101.65
3214.00,101.65
3213.00,101.65
3212.00,101.65
3211.00,101.65
3210.00,101.66
3209.00,101.66
3208.00,101.65
3207.00,101.64
3206.00,101.63
3205.00,101.63
3204.00,101.63
3203.00,101.63
3202.00,101.62
3201.00,101.62
3200.00,101.63
3199.00,101.63
3198.00,101.64
3197.00,101.65
3196.00,101.64
3195.00,101.63
3194.00,101.62
3193.00,101.61
3192.00,101.60
3191.00,101.60
3190.00,101.60
3189.00,101.60
3188.00,101.62
3187.00,101.63
3186.00,101.64
3185.00,101.64
3184.00,101.64
3183.00,101.63
3182.00,101.62
3181.00,101.63
3180.00,101.63
3179.00,101.64
3178.00,101.64
3177.00,101.63
3176.00,101.62
3175.00,101.61
3174.00,101.60
3173.00,101.60
3172.00,101.61
3171.00,101.61
3170.00,101.61
3169.00,101.61
3168.00,101.62
3167.00,101.62
3166.00,101.61
3165.00,101.61
3164.00,101.61
3163.00,101.61
3162.00,101.61
3161.00,101.61
3160.00,101.60
3159.00,101.60
