Data from Sun spf650_Subt2__2__10-03-15-990.txt Node

Date: Tue Sep 23 10:03:15 EDT 2025
User: brett
Spectrometer: USB4F03499
Trigger mode: 4
Integration Time (sec): 1.000000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: true
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
0	-60.2569
0.225	-60.2569
0.449	-60.2569
0.674	-97.08428
0.898	-108.66804
1.123	-18.5068
1.347	70.72048
1.572	38.77478
1.796	34.25826
2.021	38.77173
2.245	-9.33861
2.469	22.73093
2.694	-89.5341
2.918	-36.90983
3.143	-76.01708
3.367	-18.52566
3.591	43.36924
3.815	-48.371
4.04	1520.81729
4.264	2168.11519
4.488	2258.24437
4.712	2130.25746
4.936	2046.03013
5.161	2122.75521
5.385	2126.79991
5.609	2037.15353
5.833	2143.71341
6.057	2078.68797
6.281	2134.50389
6.505	2218.51312
6.729	2078.77106
6.953	2267.02834
7.177	2090.00657
7.401	2183.84026
7.625	2219.23129
7.849	2075.08591
8.073	2242.50018
8.297	2179.25733
8.521	2065.19399
8.744	2117.61665
8.968	2222.76432
9.192	2229.09477
9.416	2271.48323
9.64	2175.9265
9.863	2371.7514
10.087	2214.20149
10.311	2235.47603
10.535	2265.17953
10.758	2142.5247
10.982	2251.16965
11.205	2301.14846
11.429	2306.82273
11.653	2245.88998
11.876	2184.90093
12.1	2360.27734
12.323	2308.82396
12.547	2370.29128
12.77	2421.14864
12.994	2201.32437
13.217	2417.81598
13.441	2269.65548
13.664	2376.04888
13.887	2278.54933
14.111	2338.91704
14.334	2293.79714
14.557	2235.1275
14.781	2472.28021
15.004	2327.05328
15.227	2347.64988
15.451	2464.36215
15.674	2290.40944
15.897	2227.37153
16.12	2422.48073
16.343	2390.74086
16.567	2502.50277
16.79	2514.13132
17.013	2418.65548
17.236	2530.49663
17.459	2539.82368
17.682	2351.94945
17.905	2625.30721
18.128	2635.64361
18.351	2681.26817
18.574	2494.93044
18.797	2710.91405
19.02	2612.49406
19.243	2779.12997
19.466	2695.79519
19.689	2794.52951
19.911	2912.89864
20.134	2873.16696
20.357	2856.85918
20.58	2855.72555
20.803	3096.31429
21.025	3128.74508
21.248	3030.97572
21.471	3170.14056
21.694	3216.97118
21.916	3094.52804
22.139	3445.24579
22.362	3306.22163
22.584	3391.10427
22.807	3576.9609
23.029	3432.33064
23.252	3679.15017
23.475	3987.2177
23.697	3811.91075
23.92	4095.51155
24.142	3863.90407
24.365	4077.60703
24.587	4187.957
24.809	4353.81641
25.032	4350.56831
25.254	4372.80104
25.477	4801.02368
25.699	4810.6933
25.921	4962.48553
26.144	5114.65799
26.366	5250.08187
26.588	5334.65385
26.81	5630.07322
27.033	5759.52447
27.255	5821.13921
27.477	6286.81481
27.699	6487.4921
27.921	6723.03263
28.144	6906.35405
28.366	7222.8647
28.588	7435.01335
28.81	7675.6533
29.032	8206.27108
29.254	8600.50625
29.476	8897.62519
29.698	9052.46534
29.92	9549.8891
30.142	10083.4477
30.364	10407.8364
30.586	10800.50659
30.808	11047.30497
31.029	11822.66071
31.251	12086.39771
31.473	12724.78918
31.695	13284.7311
31.917	13376.43789
32.139	13852.28692
32.36	14673.79322
32.582	15174.3305
32.804	15260.16807
33.026	16076.55889
33.247	16328.62314
33.469	16886.17742
33.691	17410.75346
33.912	18336.02096
34.134	18161.94603
34.355	18713.61806
34.577	19368.75805
34.798	20028.24866
35.02	20375.28302
35.242	20511.75519
35.463	21526.53424
35.684	21946.05348
35.906	22084.28734
36.127	22931.63632
36.349	22854.29498
36.57	24262.43329
36.792	25222.90241
37.013	25237.16016
37.234	25084.38541
37.456	26260.87435
37.677	26763.19182
37.898	27111.15148
38.119	27060.25963
38.341	28182.27306
38.562	28561.28449
38.783	29108.79883
39.004	28794.60066
39.225	29020.74659
39.447	30131.27243
39.668	31215.66942
39.889	31073.33906
40.11	31921.61004
40.331	32379.36464
40.552	32877.40497
40.773	33243.64886
40.994	34114.09525
41.215	34172.67612
41.436	35304.26297
41.657	35581.44254
41.878	36349.49872
42.099	37836.15049
42.32	38548.82226
42.54	39529.56365
42.761	41011.90419
42.982	41678.17873
43.203	43207.35958
43.424	44779.66354
43.645	44738.45846
43.865	46446.85928
44.086	46965.09449
44.307	48834.59984
44.527	50307.78605
44.748	51639.54201
44.969	52445.34227
45.189	51866.50489
45.41	52791.63167
45.631	55861.11996
45.851	54766.11127
