wavelength,intensity
341.572,18.79333638
341.764021,18.79333638
341.956042,18.79333638
342.148063,12.57570268
342.3400839,16.91114908
342.5321049,35.58989131
342.7241259,46.53318894
342.9161469,13.63785475
343.1081679,-46.447492
343.3001889,-41.84493824
343.4922099,-18.34678831
343.6842309,-13.38443072
343.8762518,-11.90379016
344.0682728,19.98720703
344.2602938,-20.42503861
344.4523148,47.22133033
344.6443358,46.46406812
344.8363568,-7.830563243
345.0283778,-28.24202549
345.2203987,-11.05411095
345.4124197,-43.9749979
345.6044407,-23.03037287
345.7964617,3.740323152
345.9884827,-2.829742102
346.1805037,11.47963252
346.3725247,26.99664062
346.5645457,32.49083986
346.7565666,56.43538179
346.9485876,57.7227843
347.1406086,-1.944032208
347.3326296,11.00457494
347.5246506,-4.099119008
347.7166716,1.252369763
347.9086926,26.77058348
348.1007135,-18.98097206
348.2927345,104.1565124
348.4847555,38.89433684
348.6767765,15.31657969
348.8687975,20.98510482
349.0608185,23.13497038
349.2528395,14.00161129
349.4448605,17.79601491
349.6368814,38.80593893
349.8289024,35.83379222
350.0209234,47.19344778
350.2129444,90.62558983
350.4049654,109.849888
350.5969864,77.34392086
350.7890074,42.39435853
350.9810283,64.24148312
351.1730493,85.58417786
351.3650703,2.167493352
351.5570913,-19.62281485
351.7491123,39.1599405
351.9411333,92.3373406
352.1331543,58.49756205
352.3251753,57.01391681
352.5171962,81.15150315
352.7092172,98.02949719
352.9012382,104.7134397
353.0932592,102.1881449
353.2852802,90.1735156
353.4773012,78.38253125
353.6693222,120.4073369
353.8613431,62.82656805
354.0533641,86.06005255
354.2453851,25.9328007
354.4374061,3.548450248
354.6294271,62.47652321
354.8214481,95.60009399
355.0134691,100.1926467
355.2054901,10.24738145
355.397511,37.23709528
355.589532,79.40029696
355.781553,75.41699635
355.973574,67.03804145
356.165595,103.2322009
356.357616,45.62599925
356.549637,15.00557382
356.7416579,81.39777892
356.9336789,104.2567753
357.1256999,97.21997139
357.3177209,72.59489139
357.5097419,33.93067193
357.7017629,27.08149143
357.8937839,16.43354763
358.0858049,39.67849862
358.2778258,84.71674848
358.4698468,100.9596336
358.6618678,65.4110287
358.8538888,14.16018803
359.0459098,28.60622967
359.2379308,13.62181179
359.4299518,-29.75398349
359.6219727,-1.640044794
359.8139937,41.56694359
360.0060147,31.99582296
360.1980357,-4.821074493
360.3900567,45.37261051
360.5820777,59.09669867
360.7740987,7.760547709
360.9661197,32.49029804
361.1581406,62.59510779
361.3501616,63.28782341
361.5421826,46.42823719
361.7342036,29.87003874
361.9262246,-46.79454245
362.1182456,35.82097656
362.3102666,52.96854046
362.5022875,25.986978
362.6943085,39.24345202
362.8863295,43.18971232
363.0783505,-43.76274209
363.2703715,-4.957930014
363.4623925,-29.57774787
363.6544135,-48.33946166
363.8464345,-17.50077728
364.0384554,41.70929088
364.2304764,66.10270692
364.4224974,44.96348133
364.6145184,85.25028008
364.8065394,43.29314502
364.9985604,12.33563189
365.1905814,29.79241423
365.3826023,38.65573178
365.5746233,19.56563939
365.7666443,0.557585673
365.9586653,25.84955511
366.1506863,90.63587432
366.3427073,47.19275313
366.5347283,30.25940982
366.7267493,6.253348077
366.9187702,1.754290561
367.1107912,27.54430326
367.3028122,44.7848444
367.4948332,15.54483343
367.6868542,88.77328536
367.8788752,108.6270889
368.0708962,24.3862244
368.2629171,0.826086004
368.4549381,55.96614445
368.6469591,76.07208392
368.8389801,37.19351411
369.0310011,53.30733102
369.2230221,36.62951848
369.4150431,46.97233641
369.6070641,28.15299065
369.799085,2.346029658
369.991106,12.53875001
370.183127,47.90552942
370.375148,71.69348916
370.567169,33.68456649
370.75919,-19.47178455
370.951211,26.69760146
371.1432319,90.03632798
371.3352529,61.45672815
371.5272739,-18.75123183
371.7192949,129.9754989
371.9113159,49.10458016
372.1033369,-18.6241057
372.2953579,60.27706205
372.4873788,106.125304
372.6793998,90.92717321
372.8714208,75.97864554
373.0634418,25.04097866
373.2554628,-11.50679508
373.4474838,124.7194525
373.6395048,73.81592677
373.8315258,73.03543623
374.0235467,108.2724662
374.2155677,83.43040882
374.4075887,7.049934626
374.5996097,23.92607162
374.7916307,114.8339921
374.9836517,63.97158768
375.1756727,48.79826624
375.3676936,55.23608338
375.5597146,56.19574364
375.7517356,63.20530185
375.9437566,96.77852731
376.1357776,76.28976363
376.3277986,71.78197054
376.5198196,50.00541757
376.7118406,13.76344626
376.9038615,59.20895293
377.0958825,120.8723409
377.2879035,38.58183155
377.4799245,107.7238372
377.6719455,67.63795958
377.8639665,42.61418386
378.0559875,50.04036492
378.2480084,72.8802543
378.4400294,69.72548157
378.6320504,37.94688958
378.8240714,51.33027532
379.0160924,98.77538208
379.2081134,75.42082996
379.4001344,44.04651383
379.5921554,33.45609453
379.7841763,48.29359082
379.9761973,61.22723553
380.1682183,48.71425604
380.3602393,62.09723702
380.5522603,58.62133761
380.7442813,116.7347083
380.9363023,83.05525829
381.1283232,31.97035733
381.3203442,43.19064835
381.5123652,81.37331562
381.7043862,33.11972586
381.8964072,98.31267336
382.0884282,54.13012697
382.2804492,-49.24366881
382.4724702,-5.210753479
382.6644911,67.0221862
382.8565121,33.93055432
383.0485331,-27.37327966
383.2405541,150.9728479
383.4325751,43.33951315
383.6245961,74.99550342
383.8166171,99.49024295
384.008638,46.377438
384.200659,2.606559665
384.39268,25.62438357
384.584701,47.35402666
384.776722,20.58186889
384.968743,63.85863815
385.160764,68.22638127
385.352785,26.83112004
385.5448059,16.77988737
385.7368269,22.90093766
385.9288479,12.03639721
386.1208689,36.20590914
386.3128899,49.67764981
386.5049109,26.06702288
386.6969319,15.60585438
386.8889528,24.33275587
387.0809738,-3.766526627
387.2729948,-39.3983583
