wavelength,intensity
341.572,25.51332034
341.764021,25.51332034
341.956042,25.51332034
342.148063,12.7155103
342.3400839,11.37527769
342.5321049,33.53767698
342.7241259,54.15996752
342.9161469,10.41751325
343.1081679,-52.87747935
343.3001889,-47.84893352
343.4922099,-22.37482983
343.6842309,-15.53766629
343.8762518,-12.66106563
344.0682728,19.95955686
344.2602938,-24.68311838
344.4523148,53.67291794
344.6443358,48.40399473
344.8363568,-1.629395952
345.0283778,-22.97527425
345.2203987,-13.94700861
345.4124197,-41.28423271
345.6044407,-31.99223881
345.7964617,-16.54259283
345.9884827,-18.74540473
346.1805037,-4.692074975
346.3725247,7.43282493
346.5645457,12.21354532
346.7565666,36.32299203
346.9485876,38.59068582
347.1406086,-23.61904613
347.3326296,-15.62101487
347.5246506,-27.22640815
347.7166716,-20.32099161
347.9086926,1.100714526
348.1007135,-41.95873258
348.2927345,76.85651906
348.4847555,6.292830801
348.6767765,-20.69431747
348.8687975,-14.12258578
349.0608185,-12.31042194
349.2528395,-27.74881529
349.4448605,-32.46051117
349.6368814,-4.924153784
349.8289024,-6.817972928
350.0209234,-7.65093095
350.2129444,34.77015238
350.4049654,54.02407878
350.5969864,16.38729926
350.7890074,-15.54596129
350.9810283,6.959526747
351.1730493,14.52090811
351.3650703,-64.62714418
351.5570913,-82.58286074
351.7491123,-25.7831608
351.9411333,23.49622918
352.1331543,-11.94235009
352.3251753,-20.87121423
352.5171962,8.779958915
352.7092172,27.72231319
352.9012382,34.21787907
353.0932592,27.73056426
353.2852802,15.29857436
353.4773012,14.05766677
353.6693222,46.67123064
353.8613431,-14.77708728
354.0533641,12.99397154
354.2453851,-47.40041511
354.4374061,-67.83573504
354.6294271,-1.957449776
354.8214481,33.48847393
355.0134691,24.81932797
355.2054901,-53.81448755
355.397511,-19.93666571
355.589532,16.3456741
355.781553,13.728403
355.973574,8.568290827
356.165595,32.2749894
356.357616,-23.5471947
356.549637,-51.90591343
356.7416579,27.64155641
356.9336789,47.94319787
357.1256999,37.97776683
357.3177209,18.68527774
357.5097419,-12.73323312
357.7017629,-19.05885161
357.8937839,-25.5701973
358.0858049,4.261254869
358.2778258,57.91048978
358.4698468,81.08997541
358.6618678,50.97868541
358.8538888,4.018775707
359.0459098,18.41749304
359.2379308,10.56625345
359.4299518,-21.61586458
359.6219727,1.027289934
359.8139937,34.72212018
360.0060147,24.82176512
360.1980357,-3.699899218
360.3900567,48.29957268
360.5820777,56.9425485
360.7740987,17.82299917
360.9661197,38.50083801
361.1581406,66.82868444
361.3501616,66.81999718
361.5421826,46.97986221
361.7342036,29.93527486
361.9262246,-48.27015763
362.1182456,40.11054139
362.3102666,54.86198284
362.5022875,26.06523301
362.6943085,31.83797834
362.8863295,29.38105092
363.0783505,-50.81024864
363.2703715,-11.9922154
363.4623925,-34.32976969
363.6544135,-56.47601844
363.8464345,-25.91104547
364.0384554,36.30208411
364.2304764,61.40170485
364.4224974,37.28570348
364.6145184,80.91148002
364.8065394,34.09735164
364.9985604,16.73055719
365.1905814,31.73393792
365.3826023,35.40307478
365.5746233,16.04248889
365.7666443,-2.565552438
365.9586653,17.16127243
366.1506863,89.41728718
366.3427073,39.27211874
366.5347283,17.68379732
366.7267493,-7.188755547
366.9187702,-14.34697966
367.1107912,6.076549656
367.3028122,22.26738524
367.4948332,2.284732905
367.6868542,74.62664934
367.8788752,87.16549214
368.0708962,4.922747771
368.2629171,-19.94703716
368.4549381,28.77471516
368.6469591,47.35723733
368.8389801,13.19103674
369.0310011,22.97354898
369.2230221,13.11167979
369.4150431,16.74628016
369.6070641,-2.194572816
369.799085,-26.54088316
369.991106,-22.12948441
370.183127,11.05907848
370.375148,43.06624515
370.567169,0.410499758
370.75919,-53.44892295
370.951211,-0.615434731
371.1432319,61.53068866
371.3352529,24.55872944
371.5272739,-56.6016051
371.7192949,88.07323727
371.9113159,10.18077932
372.1033369,-54.98805058
372.2953579,25.83089891
372.4873788,75.01113945
372.6793998,60.87100476
372.8714208,41.54063982
373.0634418,-13.70901218
373.2554628,-45.42101702
373.4474838,83.0263691
373.6395048,23.63826863
373.8315258,24.11357154
374.0235467,62.3782127
374.2155677,36.14061436
374.4075887,-42.73354382
374.5996097,-31.82659285
374.7916307,61.79265673
374.9836517,17.001413
375.1756727,-0.465920433
375.3676936,4.318525389
375.5597146,6.758863453
375.7517356,13.9784217
375.9437566,46.51805599
376.1357776,29.16636364
376.3277986,24.26139151
376.5198196,8.318405582
376.7118406,-24.70574258
376.9038615,20.80052957
377.0958825,86.33855974
377.2879035,12.7779383
377.4799245,68.27680594
377.6719455,40.96006135
377.8639665,15.99786671
378.0559875,19.79509549
378.2480084,45.07871631
378.4400294,44.65627807
378.6320504,7.091761716
378.8240714,13.35970735
379.0160924,63.77242828
379.2081134,43.44373143
379.4001344,10.2562344
379.5921554,-0.825279334
379.7841763,12.45769279
379.9761973,27.4133787
380.1682183,23.45964059
380.3602393,18.62765675
380.5522603,30.53630632
380.7442813,85.62234295
380.9363023,49.79121953
381.1283232,1.326962544
381.3203442,17.20143326
381.5123652,58.96208649
381.7043862,13.61573752
381.8964072,84.08084428
382.0884282,38.11082351
382.2804492,-51.49408758
382.4724702,-9.650411668
382.6644911,56.16927007
382.8565121,26.09074663
383.0485331,-27.51205055
383.2405541,149.4478055
383.4325751,39.96946132
383.6245961,71.70638084
383.8166171,102.1873503
384.008638,48.69404796
384.200659,3.099600305
384.39268,29.9500044
384.584701,57.16223004
384.776722,29.27242134
384.968743,61.93274993
385.160764,64.58777387
385.352785,25.83221648
385.5448059,12.6316001
385.7368269,15.85420134
385.9288479,8.843136162
386.1208689,33.64631328
386.3128899,53.91548755
386.5049109,25.33936012
386.6969319,8.251211675
386.8889528,17.25282024
387.0809738,-12.48208156
387.2729948,-51.12764349
387.4650158,-12.4595978
387.6570368,61.90269704
387.8490578,39.6239933
388.0410788,97.13114902
388.2330998,28.43054747
388.4251207,-1.831377922
388.6171417,51.59640578
388.8091627,91.19800141
389.0011837,21.54283859
389.1932047,-35.19889691
389.3852257,-63.71922965
389.5772467,70.28751006
389.7692676,60.32099546
389.9612886,33.6093082
390.1533096,41.12843583
390.3453306,48.15231599
390.5373516,42.80802034
390.7293726,55.1378312
390.9213936,18.40335627
391.1134146,98.11470937
391.3054355,38.2465367
391.4974565,17.48165878
391.6894775,50.50604944
391.8814985,47.97747581
392.0735195,57.77797018
