Created as New Dataset,Sample 001 By Administrator Date Tuesday, October 14 2025
cm-1,%T
3650.00,100.06
3649.00,100.04
3648.00,100.01
3647.00,99.99
3646.00,99.99
3645.00,99.99
3644.00,99.99
3643.00,99.98
3642.00,99.98
3641.00,99.98
3640.00,99.98
3639.00,99.98
3638.00,99.98
3637.00,99.99
3636.00,99.99
3635.00,100.00
3634.00,100.00
3633.00,100.00
3632.00,100.00
3631.00,100.01
3630.00,100.03
3629.00,100.03
3628.00,100.01
3627.00,99.99
3626.00,99.99
3625.00,99.99
3624.00,100.00
3623.00,100.00
3622.00,100.01
3621.00,100.03
3620.00,100.03
3619.00,100.02
3618.00,100.01
3617.00,99.99
3616.00,99.98
3615.00,99.98
3614.00,99.99
3613.00,100.00
3612.00,99.99
3611.00,99.98
3610.00,99.97
3609.00,99.96
3608.00,99.97
3607.00,99.98
3606.00,99.99
3605.00,99.99
3604.00,99.98
3603.00,99.97
3602.00,99.96
3601.00,99.96
3600.00,99.96
3599.00,99.97
3598.00,99.98
3597.00,99.98
3596.00,99.98
3595.00,99.98
3594.00,99.98
3593.00,99.98
3592.00,99.98
3591.00,99.98
3590.00,99.98
3589.00,99.97
3588.00,99.98
3587.00,99.99
3586.00,100.00
3585.00,99.99
3584.00,99.99
3583.00,99.98
3582.00,99.97
3581.00,99.97
3580.00,99.97
3579.00,99.97
3578.00,99.98
3577.00,99.98
3576.00,99.97
3575.00,99.98
3574.00,99.98
3573.00,99.98
3572.00,99.98
3571.00,99.98
3570.00,99.98
3569.00,99.98
3568.00,99.97
3567.00,99.97
3566.00,99.96
3565.00,99.96
3564.00,99.97
3563.00,99.97
3562.00,99.98
3561.00,99.98
3560.00,99.98
3559.00,99.98
3558.00,99.97
3557.00,99.97
3556.00,99.97
3555.00,99.97
3554.00,99.97
3553.00,99.98
3552.00,99.98
3551.00,99.98
3550.00,99.98
3549.00,99.97
3548.00,99.97
3547.00,99.97
3546.00,99.97
3545.00,99.97
3544.00,99.98
3543.00,99.98
3542.00,99.99
3541.00,99.99
3540.00,100.00
3539.00,100.00
3538.00,100.00
3537.00,100.00
3536.00,100.00
3535.00,100.00
3534.00,100.00
3533.00,99.99
3532.00,99.99
3531.00,99.99
3530.00,99.98
3529.00,99.98
3528.00,99.98
3527.00,99.98
3526.00,99.98
3525.00,99.98
3524.00,99.97
3523.00,99.97
3522.00,99.98
3521.00,99.98
3520.00,99.99
3519.00,99.98
3518.00,99.98
3517.00,99.98
3516.00,99.98
3515.00,99.98
3514.00,99.98
3513.00,99.98
3512.00,99.98
3511.00,99.98
3510.00,99.98
3509.00,99.98
3508.00,99.98
3507.00,99.98
3506.00,99.97
3505.00,99.97
3504.00,99.96
3503.00,99.96
3502.00,99.97
3501.00,99.97
3500.00,99.97
3499.00,99.96
3498.00,99.96
3497.00,99.97
3496.00,99.98
3495.00,99.98
3494.00,99.99
3493.00,99.98
3492.00,99.98
3491.00,99.98
3490.00,99.98
3489.00,99.98
3488.00,99.98
3487.00,99.98
3486.00,99.99
3485.00,99.99
3484.00,99.99
3483.00,99.98
3482.00,99.99
3481.00,99.99
3480.00,99.99
3479.00,100.00
3478.00,99.99
3477.00,99.99
3476.00,99.99
3475.00,99.98
3474.00,99.98
3473.00,99.98
3472.00,99.98
3471.00,99.97
3470.00,99.97
3469.00,99.97
3468.00,99.98
3467.00,99.98
3466.00,99.98
3465.00,99.99
3464.00,99.99
3463.00,99.99
3462.00,99.99
3461.00,100.00
3460.00,100.00
3459.00,100.00
3458.00,100.00
3457.00,100.00
3456.00,100.00
3455.00,100.00
3454.00,99.99
3453.00,99.99
3452.00,99.99
3451.00,99.98
3450.00,99.98
3449.00,99.98
3448.00,99.98
3447.00,99.98
3446.00,99.98
3445.00,99.97
3444.00,99.97
3443.00,99.97
3442.00,99.98
3441.00,99.99
3440.00,99.99
3439.00,99.99
3438.00,99.99
3437.00,99.99
3436.00,99.98
3435.00,99.98
3434.00,99.98
3433.00,99.98
3432.00,99.98
3431.00,99.98
3430.00,99.98
3429.00,99.99
3428.00,100.00
3427.00,100.01
3426.00,100.01
3425.00,100.01
3424.00,100.01
3423.00,100.00
3422.00,99.99
3421.00,99.99
3420.00,99.98
3419.00,99.98
3418.00,99.99
3417.00,99.99
3416.00,100.00
3415.00,100.00
3414.00,100.00
3413.00,99.99
3412.00,99.99
3411.00,99.99
3410.00,99.99
3409.00,99.99
3408.00,99.98
3407.00,99.98
3406.00,99.98
3405.00,99.98
3404.00,99.98
3403.00,99.98
3402.00,99.98
3401.00,99.98
3400.00,99.98
3399.00,99.99
3398.00,99.99
3397.00,99.99
3396.00,99.99
3395.00,99.99
3394.00,100.00
3393.00,100.00
3392.00,100.00
3391.00,100.00
3390.00,100.00
3389.00,100.00
3388.00,100.00
3387.00,100.00
3386.00,100.00
3385.00,100.00
3384.00,99.99
3383.00,99.99
3382.00,99.99
3381.00,99.99
3380.00,99.99
3379.00,99.99
3378.00,99.99
3377.00,99.99
3376.00,99.99
3375.00,99.98
3374.00,99.97
3373.00,99.97
3372.00,99.97
3371.00,99.97
3370.00,99.97
3369.00,99.96
3368.00,99.96
3367.00,99.96
3366.00,99.97
3365.00,99.97
3364.00,99.97
3363.00,99.97
3362.00,99.97
3361.00,99.97
3360.00,99.98
3359.00,99.99
3358.00,99.99
3357.00,99.98
3356.00,99.98
3355.00,99.98
3354.00,99.99
3353.00,99.99
3352.00,99.99
3351.00,99.98
3350.00,99.97
3349.00,99.98
3348.00,99.98
3347.00,99.99
3346.00,100.00
3345.00,100.00
3344.00,99.99
3343.00,99.99
3342.00,99.98
3341.00,99.98
3340.00,99.98
3339.00,99.98
3338.00,99.98
3337.00,99.99
3336.00,99.99
3335.00,99.99
3334.00,99.99
3333.00,99.99
3332.00,99.98
3331.00,99.98
3330.00,99.98
