Wavelength,Flux
416.588,30.82171
416.806,-10.8774
417.024,-42.01718
417.242,88.2051
417.46,-12.71975
417.678,62.36303
417.896,90.18059
418.114,41.89931
418.332,-0.34368
418.55,28.54697
418.767,91.09092
418.985,59.29239
419.203,42.75607
419.421,14.79406
419.639,30.8314
419.856,63.50714
420.074,46.42854
420.292,9.28139
420.509,-3.093
420.727,-32.41513
420.945,-9.04513
421.162,-1.26106
421.38,105.26216
421.597,85.78608
421.815,109.73699
422.033,74.65915
422.25,102.09122
422.468,105.44235
422.685,45.93783
422.903,83.51175
423.12,73.82969
423.337,31.70308
423.555,127.66445
423.772,38.49103
423.99,83.45294
424.207,87.77346
424.424,83.02426
424.642,186.20054
424.859,164.01182
425.076,165.32988
425.293,143.30388
425.511,138.42975
425.728,119.20418
425.945,159.59281
426.162,211.97625
426.379,223.78323
426.597,228.50589
426.814,177.15733
427.031,282.82447
427.248,319.76971
427.465,185.06053
427.682,291.94466
427.899,222.6517
428.116,184.42163
428.333,316.49279
428.55,354.34676
428.767,269.59818
428.984,280.85955
429.201,303.65779
429.418,389.27094
429.635,366.12886
429.852,364.48276
430.068,271.95067
430.285,259.13822
430.502,307.8393
430.719,311.97499
430.936,316.36761
431.152,265.03051
431.369,380.77958
431.586,228.01577
431.802,350.9344
432.019,238.40535
432.236,264.32339
432.452,285.69982
432.669,231.73637
432.886,313.88595
433.102,325.5493
433.319,320.97357
433.535,349.09428
433.752,256.27481
433.968,207.46618
434.185,362.78012
434.401,305.70895
434.618,342.65188
434.834,366.8554
435.051,363.30885
435.267,324.00314
435.483,199.09364
435.7,206.67194
435.916,232.85239
436.132,167.40389
436.349,177.4427
436.565,63.69999
436.781,195.36096
436.997,87.95955
437.214,10.17881
437.43,228.17901
437.646,74.70555
437.862,159.74672
438.078,260.85701
438.294,164.63088
438.51,182.41026
438.727,127.31681
438.943,109.46235
439.159,191.75154
439.375,203.37531
439.591,143.68225
439.807,167.7691
440.023,131.17393
440.239,188.02362
440.455,123.20733
440.67,109.67649
440.886,61.41989
441.102,120.35525
441.318,130.10677
441.534,79.32497
441.75,98.39324
441.966,83.81229
442.181,68.22165
442.397,69.27466
442.613,64.14202
442.829,131.22547
443.044,124.14958
443.26,36.22766
443.476,112.73787
443.691,115.92726
443.907,104.49544
444.123,119.08801
444.338,124.93687
444.554,78.42885
444.769,163.73204
444.985,143.33729
445.2,130.64504
445.416,150.16027
445.631,156.43872
445.847,174.25343
446.062,120.05995
446.278,146.1264
446.493,120.51061
446.708,151.72744
446.924,121.52744
447.139,153.69139
447.355,204.44218
447.57,122.52304
447.785,94.12638
448,169.47662
448.216,178.19
448.431,124.3558
448.646,119.94148
448.861,179.21067
449.077,144.84216
449.292,157.79062
449.507,140.41327
449.722,38.9506
449.937,102.71553
450.152,38.05795
450.367,121.84686
450.582,31.68334
450.797,88.07333
451.012,99.1761
451.227,14.76275
451.442,93.924
451.657,122.51425
451.872,189.57123
452.087,140.78515
452.302,14.73191
452.517,130.64504
452.732,113.98454
452.947,140.86259
453.161,28.06652
453.376,77.58708
453.591,83.97591
453.806,68.51604
454.021,48.78882
454.235,7.88016
454.45,15.66705
454.665,74.47038
454.879,6.51588
455.094,76.67144
455.309,40.95888
455.523,-14.5617
455.738,-0.80135
455.952,40.85603
456.167,-74.51506
456.382,26.64254
456.596,60.66718
456.811,44.09591
457.025,57.94962
457.24,-15.47922
457.454,6.53681
457.668,-37.99153
457.883,-60.48759
458.097,28.54697
458.312,-16.42278
458.526,28.45356
458.74,40.07346
458.955,-37.4172
459.169,-0.80287
459.383,-33.34244
459.598,-22.29343
459.812,28.47339
460.026,-11.33548
460.24,57.76793
460.454,30.82413
460.669,0.57274
460.883,24.42528
461.097,73.17657
461.311,17.99
461.525,-3.09567
461.739,27.08293
461.953,-24.19135
462.167,22.56459
462.381,39.12132
462.595,7.90284
462.809,-24.66378
463.023,67.61508
463.237,12.94629
463.451,63.88991
463.665,7.89666
463.879,57.53218
464.093,-32.90717
464.307,6.97687
464.52,19.84464
464.734,11.58267
464.948,46.43586
465.162,-8.5724
465.376,-36.53832
465.589,-63.19021
465.803,29.47065
466.017,79.12307
466.231,0.11443
466.444,-39.68565
466.658,3.31966
466.871,-66.81161
467.085,37.21362
467.299,20.27297
467.512,-8.59247
467.726,-45.22533
467.939,19.85722
468.153,-13.64529
468.366,20.74561
468.58,32.27238
468.793,19.39825
469.007,-41.60455
469.22,-1.7187
469.434,-56.2054
469.647,0.11465
469.86,58.81554
470.074,39.17421
470.287,54.2681
470.5,-3.55854
470.714,-117.98812
470.927,-84.12404
471.14,12.02239
471.353,63.38658
471.567,49.51554
471.78,-25.54366
471.993,93.22179
472.206,47.34118
472.419,60.11905
472.633,70.12939
472.846,32.18832
473.059,30.42608
473.272,75.27428
473.485,44.07177
473.698,13.86698
473.911,6.97416
474.124,24.26155
474.337,30.32564
474.55,35.81524
474.763,126.66105
474.976,39.57052
475.189,11.58176
475.402,102.95868
475.614,29.05593
475.827,16.6403
476.04,52.33506
476.253,51.42374
476.466,-37.00548
476.678,65.69198
476.891,-38.36916
477.104,75.36926
477.317,110.20349
477.529,80.00234
477.742,59.73651
477.955,131.64149
478.167,0.57351
478.38,68.04672
478.593,26.24474
478.805,31.31678
479.018,-55.79511
479.23,106.67578
479.443,-21.81068
479.655,26.1996
479.868,76.62331
480.08,99.2762
480.293,57.95421
480.505,46.42489
480.718,16.13188
480.93,-2.63579
481.143,-20.8808
481.355,0.11441
481.567,23.50827
481.78,78.49034
481.992,-37.84578
482.204,68.47807
482.417,29.42439
482.629,55.17635
482.841,81.25571
483.053,36.7963
483.265,59.37238
483.478,100.61916
483.69,49.61227
483.902,22.53817
484.114,78.577
484.326,43.14657
484.538,9.26042
484.75,-6.76132
484.962,32.13562
485.175,28.0886
485.387,-18.19765
485.599,-6.76238
485.811,-44.15812
486.022,20.2889
486.234,-2.17584
486.446,36.75014
486.658,-11.75979
486.87,11.57446
487.082,33.14067
487.294,39.97861
487.506,0.11455
487.718,5.60799
487.929,6.53012
488.141,28.07755
488.353,-39.28914
488.565,39.17109
488.776,55.9874
488.988,62.97826
489.2,6.52705
489.411,28.54247
489.623,-65.81639
489.835,5.61106
490.046,25.82321
490.258,57.45923
490.47,75.68452
490.681,-14.08524
490.893,11.59184
491.104,-66.24378
491.316,80.69039
491.527,23.46769
491.739,-17.31571
491.95,-41.61766
492.162,-3.09494
492.373,37.22819
492.584,-9.50542
492.796,79.03522
493.007,38.14398
493.218,2.85427
493.43,79.51231
493.641,22.54871
493.852,63.90508
494.064,24.37172
494.275,57.01896
494.486,-26.43151
494.697,-16.39547
494.909,18.91383
495.12,-7.67581
495.331,35.38821
495.542,82.32085
495.753,-11.80097
495.964,-9.49135
496.175,53.30056
496.386,79.11048
496.597,-6.29547
496.808,49.09285
497.019,46.74061
497.23,51.35957
497.441,59.20851
497.652,80.23319
497.863,-6.76451
498.074,43.74851
498.285,45.46214
498.496,70.71914
498.707,104.90038
498.918,26.69666
499.129,114.63724
499.339,-47.93431
499.55,107.97398
499.761,70.83107
499.972,126.3833
500.182,2.85868
500.393,-46.50989
500.604,-9.04867
500.815,61.95417
501.025,10.65951
501.236,146.90025
501.447,20.26504
501.657,27.18258
501.868,-51.16027
502.078,76.70164
502.289,75.83953
502.499,69.33445
502.71,-52.64228
502.92,69.74304
503.131,3.32383
503.341,-73.17409
503.552,58.34361
503.762,60.13318
503.973,5.61326
504.183,2.85913
504.393,27.16329
504.604,6.0743
504.814,16.16349
505.024,41.8529
505.235,101.22205
505.445,0.57176
505.655,19.84464
505.866,-10.41525
506.076,-42.00734
506.286,23.52501
506.496,47.34118
506.706,44.61333
506.917,29.41749
507.127,10.657
507.337,1.02868
507.547,20.24609
507.757,-5.84398
507.967,53.70802
508.177,-3.54653
508.387,7.46004
508.597,100.5318
508.807,-70.88659
509.017,59.3582
509.227,-47.08453
509.437,40.94916
509.647,-40.65827
509.857,-9.04089
510.067,-26.00612
