CENTRALWAVELNG,BANDWIDTH,FLAM,FLAMERR1,FLAMERR2,FLAMLIM,FLAMERR1_CALC,FLAMERR2_CALC,FLAMLIM_CALC,FLAM_REFID,FLAM_BIBCODE,FLAM_HTMLLINK,FLAM_AUTHORS,FLAM_URL,FNU,FNUERR1,FNUERR2,FNULIM,FNUERR1_CALC,FNUERR2_CALC,FNULIM_CALC,FNU_REFID,FNU_BIBCODE,FNU_HTMLLINK,FNU_AUTHORS,FNU_URL,OBS_DATE,OBS_DATEERR1,OBS_DATEERR2
2.5271,,6.13664483758461e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001307205,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.52735,,6.162651241209501e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001313001,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.52759,,5.977309377160347e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001273761,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.52784,,5.810746104309857e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001238508,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.52808,,5.848199198964738e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001246734,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.52833,,5.911952603760117e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001260571,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.52858,,5.928556720883816e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001264358,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.52882,,5.915699096913231e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001261862,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.52907,,5.944641755229146e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001268283,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.52932,,6.063755079464844e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001293948,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.52956,,6.266305047653873e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001337431,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.52981,,6.406936949682117e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001367713,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53006,,6.424379926980493e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001371704,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.5303,,6.56235053844687e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001401436,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53055,,6.728062370301537e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001437105,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.5308,,6.660092494955247e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001422864,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53104,,6.392511118379852e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001365964,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53129,,6.062140029391019e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001295622,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53154,,5.842050616031372e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001248827,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53178,,5.89513446208253e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.000126042,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53203,,6.201418864374415e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001326164,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53228,,6.366726493369827e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.000136178,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53252,,6.217514263071667e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001330124,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53277,,5.840560743007369e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001249725,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53302,,5.578834538730479e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001193955,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53326,,5.6284032293946e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001204798,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53351,,5.870382654417534e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.000125684,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53376,,6.156640580998351e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001318384,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.534,,6.365166013423226e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001363303,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53425,,6.494683266669346e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001391314,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.5345,,6.529085572715663e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001398956,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53474,,6.445863184835695e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001381393,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53499,,6.284570796182453e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001347089,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53524,,6.120066635856298e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001312083,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53548,,6.046969985384766e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001296664,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
2.53573,,5.991885206426471e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,0.0001285102,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
