wavelength_nm,intensity,source_count
345.386,0.8461949999999998,2
345.605,0.8461949999999998,2
345.824,0.8461949999999998,2
346.044,-13.310195,2
346.263,1.4158449999999998,2
346.482,-5.357245,2
346.701,-3.1109349999999996,2
346.92,-15.511759999999999,2
347.139,-30.184019999999997,2
347.358,18.32537,2
347.577,32.36831,2
347.796,-29.099425,2
348.015,4.2280549999999995,2
348.234,-21.73267,2
348.453,-4.812710000000001,2
348.672,30.188000000000002,2
348.891,24.574745,2
349.11,24.562375,2
349.329,-5.918915,2
349.548,-30.77803,2
349.767,-9.29998,2
349.986,60.59605499999999,2
350.205,52.201660000000004,2
350.424,23.429075,2
350.643,0.2777850000000006,2
350.862,44.31055,2
351.08,58.3159,2
351.299,69.07966,2
351.518,19.469645,2
351.737,5.924505,2
351.956,54.988859999999995,2
352.174,44.86746,2
352.393,44.288975,2
352.612,7.613535,2
352.831,60.038665,2
353.049,36.963385,2
353.268,1.9738250000000002,2
353.487,20.013345,2
353.705,32.495025,2
353.924,52.233855,2
354.143,48.19902,2
354.361,-17.203025,2
354.58,10.9959,2
354.798,57.857445,2
355.017,36.38317,2
355.236,49.37699,2
355.454,-3.67011,2
355.673,11.56901,2
355.891,-2.5369349999999997,2
356.11,-31.318575000000003,2
356.328,57.852215,2
356.547,44.844809999999995,2
356.765,10.99214,2
356.984,36.36929,2
357.202,23.976815,2
357.42,5.922885,2
357.639,7.61252,2
357.857,9.853915,2
358.076,4.2210600000000005,2
358.294,49.352805000000004,2
358.512,-39.775785,2
358.731,45.361125,2
358.949,-9.30663,2
359.167,16.627275,2
359.386,27.864559999999997,2
359.604,7.0551699999999995,2
359.822,57.790585,2
360.04,-26.208745,2
360.259,16.64162,2
360.477,-9.30367,2
360.695,31.872754999999998,2
360.913,16.06698,2
361.131,22.2558,2
361.35,17.18713,2
361.568,11.55621,2
361.786,45.95184999999999,2
362.004,41.948415000000004,2
362.222,-21.701875,2
362.44,38.030985,2
362.658,42.038635,2
362.876,40.27869,2
363.094,30.705060000000003,2
363.312,20.576705,2
363.53,68.566845,2
363.749,44.829,2
363.967,29.5792,2
364.184,-13.82675,2
364.402,15.491060000000001,2
364.62,34.674215000000004,2
364.838,60.67752,2
365.056,43.176985,2
365.274,60.015125,2
365.492,9.30568,2
365.71,26.231090000000002,2
365.928,72.97461,2
366.146,30.16576,2
366.364,61.1573,2
366.581,-17.19337,2
366.799,35.201515,2
367.017,48.769605,2
367.235,39.78654,2
367.453,22.27109,2
367.67,58.829080000000005,2
367.888,66.38919,2
368.106,-11.001785,2
368.323,47.44531,2
368.541,17.76408,2
368.759,5.359285,2
368.977,39.75246,2
369.194,17.753835000000002,2
369.412,0.2812000000000001,2
369.629,23.965130000000002,2
369.847,2.53242,2
370.065,9.30528,2
370.282,38.599059999999994,2
370.5,43.123239999999996,2
370.717,39.709525,2
370.935,38.62011,2
371.152,49.913250000000005,2
371.37,54.943455,2
