wavelength_nm,intensity,source_count
345.386,3.0727349999999998,4
345.605,3.0727349999999998,4
345.824,3.0727349999999998,4
346.044,-0.628965,4
346.263,1.8090275,4
346.482,-5.977275,4
346.701,1.04182,4
346.92,4.6639075,4
347.139,0.5452999999999999,4
347.358,-2.7838524999999996,4
347.577,-4.9269125,4
347.796,-5.4120925,4
348.015,1.88795,4
348.234,5.7026575,4
348.453,3.1290299999999998,4
348.672,-2.17423,4
348.891,4.3021825,4
349.11,3.1629625000000003,4
349.329,3.4222225,4
349.548,-0.24471749999999992,4
349.767,2.0798725,4
349.986,-1.36158,4
350.205,-1.9483449999999998,4
350.424,2.6328925000000005,4
350.643,4.2799425,4
350.862,-3.0989925,4
351.08,-2.5687525,4
351.299,3.6146275,4
351.518,7.7096800000000005,4
351.737,-2.5689225,4
351.956,4.43786,4
352.174,4.201165,4
352.393,3.343655,4
352.612,-5.1637825,4
352.831,4.900645000000001,4
353.049,3.6143775,4
353.268,0.47739750000000014,4
353.487,5.4536299999999995,4
353.705,1.9893174999999998,4
353.924,3.5466249999999997,4
354.143,0.9626575,4
354.361,5.4430925,4
354.58,-4.046515,4
354.798,3.2081475,4
355.017,2.711525,4
355.236,-0.3576349999999999,4
355.454,-2.3206825,4
355.673,-2.2755175000000003,4
355.891,-3.335685,4
356.11,-0.4365524999999999,4
356.328,-5.4676725,4
356.547,8.2638475,4
356.765,6.0849625,4
356.984,-1.8135824999999999,4
357.202,4.042835,4
357.42,7.07953,4
357.639,4.1430975,4
357.857,2.1586550000000004,4
358.076,-3.4373625,4
358.294,1.7075200000000001,4
358.512,2.079665,4
358.731,2.9595975,4
358.949,2.5537225,4
359.167,3.1968075000000002,4
359.386,2.3387725,4
359.604,-3.5279475,4
359.822,1.6392650000000002,4
360.04,9.14435,4
360.259,-0.8652175000000001,4
360.477,3.4903975,4
360.695,8.7139375,4
360.913,2.0231375,4
361.131,4.4262425,4
361.35,0.1728325,4
361.568,-2.095095,4
361.786,1.6284399999999999,4
362.004,3.0608175,4
362.222,8.397784999999999,4
362.44,5.599945,4
362.658,1.6842749999999997,4
362.876,1.2333349999999998,4
363.094,0.49988999999999995,4
363.312,-0.5607874999999998,4
363.53,-0.12081249999999999,4
363.749,-0.9778425000000001,4
363.967,7.078257499999999,4
364.184,4.23466,4
364.402,-1.8468575,4
364.62,-1.1134375000000003,4
364.838,-0.22223749999999998,4
365.056,8.8723175,4
365.274,2.6663025,4
365.492,3.489775,4
365.71,-1.429195,4
365.928,6.37793,4
366.146,0.6129275000000001,4
366.364,-4.01252,4
366.581,-3.6856025,4
366.799,2.2940525,4
367.017,-3.9902149999999996,4
367.235,3.4894575,4
367.453,-3.71945,4
367.67,7.3819375,4
367.888,-3.33594,4
368.106,3.87343,4
368.323,4.11032,4
368.541,13.239237500000002,4
368.759,7.0555025,4
368.977,4.79856,4
369.194,0.15023500000000012,4
369.412,-2.027215,4
369.629,-9.562885,4
369.847,6.682644999999999,4
370.065,-4.18203,4
370.282,-0.2449849999999998,4
370.5,3.8740200000000007,4
370.717,-3.7868374999999994,4
370.935,4.09948,4
371.152,5.0242125,4
371.37,12.864172499999999,4
371.588,4.2794325,4
371.805,4.0078725,4
372.022,4.5049375000000005,4
372.24,8.961005,4
372.457,2.5755650000000005,4
372.675,-4.08032,4
372.892,-1.0119475,4
373.11,1.1431149999999999,4
373.327,5.4414575,4
373.544,11.219582500000001,4
373.762,6.446054999999999,4
373.979,6.152410000000001,4
374.196,5.6560125,4
374.414,13.578895,4
374.631,12.267167500000001,4
374.848,5.84804,4
375.066,11.591077499999999,4
375.283,12.4375625,4
375.5,3.331845,4
375.717,1.5487549999999999,4
375.935,6.1982025,4
376.152,3.9411125000000005,4
376.369,6.8066725,4
376.586,6.5247125,4
376.803,6.016730000000001,4
377.02,-2.354,4
377.238,0.6467125,4
377.455,2.2146775,4
377.672,2.417595,4
377.889,4.0879325,4
378.106,8.7921975,4
378.323,6.0285775,4
378.54,11.2301175,4
378.757,12.96772,4
378.974,4.549939999999999,4
379.191,-3.8096875000000003,4
379.408,11.127255,4
379.625,3.7949375,4
379.842,6.0273975,4
