cm-1,A_sample_norm,A_NIST_norm
4000.0,0.031175483958356974,
3999.0,0.032495852989496775,
3998.0,0.03513700085680116,
3997.0,0.03645777974950511,
3996.0,0.037752567760672144,
3995.0,0.03511114662405691,
3994.0,0.032444696189652365,
3993.0,0.02980464083439935,
3992.0,0.02980464083439935,
3991.0,0.02980464083439935,
3990.0,0.031099166224399382,
3989.0,0.029754050905665543,
3988.0,0.029754050905665543,
3987.0,0.031073737399179773,
3986.0,0.03241912564826575,
3985.0,0.03505945404678848,
3984.0,0.03637982307792731,
3983.0,0.03508529768792865,
3982.0,0.032444696189652365,
3981.0,0.031099166224399382,
3980.0,0.028434500835008664,
3979.0,0.02711508715900206,
3978.0,0.028434500835008664,
3977.0,0.03368782321910365,
3976.0,0.0350336156990143,
3975.0,0.037674217197290645,
3974.0,0.03505945404678848,
3973.0,0.03241912564826575,
3972.0,0.029779343279817308,
3971.0,0.028459656786302464,
3970.0,0.028459656786302464,
3969.0,0.027140106715644822,
3968.0,0.025820693039639034,
3967.0,0.02318227475882209,
3966.0,0.02188774936882354,
3965.0,0.02584558132564693,
3964.0,0.032444696189652365,
3963.0,0.03637982307792731,
3962.0,0.0350336156990143,
3961.0,0.029728763710351436,
3960.0,0.025795809849456352,
3959.0,0.02450141573009409,
3958.0,0.02716513139630381,
3957.0,0.031099166224399382,
3956.0,0.031099166224399382,
3955.0,0.029779343279817308,
3954.0,0.02716513139630381,
3953.0,0.02716513139630381,
3952.0,0.02716513139630381,
3951.0,0.02848481788981799,
3950.0,0.031073737399179773,
3949.0,0.028359063878604807,
3948.0,0.01905636109903148,
3947.0,0.007179522655354414,
3946.0,0.0019600066260345318,
3945.0,0.00602299503632598,
3944.0,0.015341699504504976,
3943.0,0.019298304670391758,
3942.0,0.013975765067695033,
3941.0,0.00602299503632598,
3940.0,0.0047286009169621125,
3939.0,0.011316136593511838,
3938.0,0.01785894745239857,
3937.0,0.01912889218567521,
3936.0,0.020398448375232484,
3935.0,0.025671470281112864,
3934.0,0.036224053374331155,
3933.0,0.045491629367944944,
3932.0,0.0468665063354977,
3931.0,0.03637982307792731,
3930.0,0.019298304670391758,
3929.0,0.004774025164251381,
3928.0,-0.0005168146558742335,
3927.0,0.004796744260323276,
3926.0,0.015413152426992045,
3925.0,0.01932252627994869,
3924.0,0.008634493101642769,
3923.0,-0.015096286359456354,
3922.0,-0.030861625041747755,
3921.0,-0.024334507970560346,
