cm-1,A_sample_norm,A_NIST_norm
4000.0,0.06450175620622989,
3999.0,0.06452967526725831,
3998.0,0.06686508147486529,
3997.0,0.06686508147486529,
3996.0,0.06686508147486529,
3995.0,0.0645575999479817,
3994.0,0.06452967526725831,
3993.0,0.06452967526725831,
3992.0,0.06222266096012109,
3991.0,0.06222266096012109,
3990.0,0.0621949754380232,
3989.0,0.0621949754380232,
3988.0,0.0621949754380232,
3987.0,0.0621949754380232,
3986.0,0.05991588019191295,
3985.0,0.06222266096012109,
3984.0,0.06450175620622989,
3983.0,0.06450175620622989,
3982.0,0.06450175620622989,
3981.0,0.06452967526725831,
3980.0,0.06452967526725831,
3979.0,0.06225035205462779,
3978.0,0.0645575999479817,
3977.0,0.0645575999479817,
3976.0,0.0645575999479817,
3975.0,0.06225035205462779,
3974.0,0.06452967526725831,
3973.0,0.06222266096012109,
3972.0,0.06452967526725831,
3971.0,0.06452967526725831,
3970.0,0.0645575999479817,
3969.0,0.062278048723225635,
3968.0,0.062278048723225635,
3967.0,0.06458553025010846,
3966.0,0.06458553025010846,
3965.0,0.06686508147486529,
3964.0,0.06914440468749398,
3963.0,0.06911601840672242,
3962.0,0.06908763783856238,
3961.0,0.06908763783856238,
3960.0,0.06908763783856238,
3959.0,0.0667806235314249,
3958.0,0.0667806235314249,
3957.0,0.06450175620622989,
3956.0,0.06450175620622989,
3955.0,0.06452967526725831,
3954.0,0.06452967526725831,
3953.0,0.0645575999479817,
3952.0,0.0645575999479817,
3951.0,0.0645575999479817,
3950.0,0.0645575999479817,
3949.0,0.06452967526725831,
3948.0,0.06450175620622989,
3947.0,0.06447384276321652,
3946.0,0.06447384276321652,
3945.0,0.06216729548666491,
3944.0,0.06216729548666491,
3943.0,0.06447384276321652,
3942.0,0.0667806235314249,
3941.0,0.0667806235314249,
3940.0,0.06450175620622989,
3939.0,0.06450175620622989,
3938.0,0.06450175620622989,
3937.0,0.06452967526725831,
3936.0,0.06222266096012109,
3935.0,0.05763655697928335,
3934.0,0.05763655697928335,
3933.0,0.05991588019191295,
3932.0,0.06222266096012109,
3931.0,0.06222266096012109,
3930.0,0.06452967526725831,
3929.0,0.06680877051336828,
3928.0,0.06680877051336828,
3927.0,0.06450175620622989,
3926.0,0.06450175620622989,
3925.0,0.06450175620622989,
3924.0,0.06680877051336828,
3923.0,0.06680877051336828,
3922.0,0.06450175620622989,
3921.0,0.06450175620622989,
3920.0,0.06450175620622989,
3919.0,0.06222266096012109,
3918.0,0.06222266096012109,
3917.0,0.06450175620622989,
3916.0,0.06680877051336828,
3915.0,0.06450175620622989,
3914.0,0.0621949754380232,
3913.0,0.0621949754380232,
3912.0,0.0621949754380232,
3911.0,0.05988842816147072,
3910.0,0.05988842816147072,
3909.0,0.05758211432930411,
3908.0,0.05758211432930411,
3907.0,0.05758211432930411,
3906.0,0.05527603389427978,
3905.0,0.057554901219473244,
3904.0,0.059860981654499254,
3903.0,0.06216729548666491,
3902.0,0.06216729548666491,
3901.0,0.06216729548666491,
3900.0,0.06447384276321652,
3899.0,0.0621949754380232,
3898.0,0.0621949754380232,
3897.0,0.05988842816147072,
3896.0,0.059860981654499254,
3895.0,0.059860981654499254,
3894.0,0.057554901219473244,
3893.0,0.052943440351914506,
3892.0,0.048332912506290335,
3891.0,0.050638059824961015,
3890.0,0.05524905413435257,
3889.0,0.059860981654499254,
3888.0,0.057554901219473244,
3887.0,0.052943440351914506,
3886.0,0.05524905413435257,
3885.0,0.059860981654499254,
3884.0,0.05988842816147072,
3883.0,0.05758211432930411,
3882.0,0.05299693864816789,
3881.0,0.05069109156304745,
3880.0,0.05299693864816789,
3879.0,0.05758211432930411,
3878.0,0.05758211432930411,
3877.0,0.05758211432930411,
3876.0,0.05527603389427978,
3875.0,0.05527603389427978,
3874.0,0.05758211432930411,
3873.0,0.059860981654499254,
3872.0,0.050638059824961015,
3871.0,0.04141886932831437,
3870.0,0.04602799834873311,
3869.0,0.057554901219473244,
3868.0,0.059860981654499254,
3867.0,0.057554901219473244,
3866.0,0.05524905413435257,
3865.0,0.06216729548666491,
3864.0,0.05988842816147072,
3863.0,0.057554901219473244,
3862.0,0.05524905413435257,
3861.0,0.05524905413435257,
3860.0,0.057554901219473244,
3859.0,0.05758211432930411,
3858.0,0.06458553025010846,
3857.0,0.07858208249964131,
3856.0,0.09022750894138049,
3855.0,0.09019695633549756,
3854.0,0.08317306329397563,
3853.0,0.08083318357726552,
3852.0,0.07852336311010694,
3851.0,0.07615554908393596,
3850.0,0.07378892832995658,
3849.0,0.06917279668259917,
3848.0,0.06452967526725831,
3847.0,0.057609332915361605,
3846.0,0.0529701868091582,
3845.0,0.04835919249976737,
3844.0,0.048332912506290335,
3843.0,0.048332912506290335,
3842.0,0.050638059824961015,
3841.0,0.048332912506290335,
3840.0,0.04141886932831437,
3839.0,0.03681067238657145,
3838.0,0.039114654371167575,
3837.0,0.04602799834873311,
3836.0,0.052943440351914506,
3835.0,0.05524905413435257,
3834.0,0.05524905413435257,
3833.0,0.05524905413435257,
3832.0,0.057554901219473244,
3831.0,0.05758211432930411,
3830.0,0.057609332915361605,
3829.0,0.057609332915361605,
3828.0,0.05527603389427978,
3827.0,0.0529701868091582,
3826.0,0.057554901219473244,
3825.0,0.059860981654499254,
3824.0,0.057554901219473244,
3823.0,0.048332912506290335,
3822.0,0.04372331730512654,
3821.0,0.050638059824961015,
3820.0,0.057554901219473244,
3819.0,0.057554901219473244,
3818.0,0.052943440351914506,
3817.0,0.052943440351914506,
3816.0,0.06216729548666491,
3815.0,0.0668369231606113,
3814.0,0.06452967526725831,
3813.0,0.05758211432930411,
3812.0,0.05524905413435257,
3811.0,0.05758211432930411,
3810.0,0.05988842816147072,
3809.0,0.057554901219473244,
3808.0,0.050638059824961015,
3807.0,0.050638059824961015,
3806.0,0.057554901219473244,
3805.0,0.057554901219473244,
3804.0,0.052943440351914506,
3803.0,0.050638059824961015,
3802.0,0.052943440351914506,
3801.0,0.0621949754380232,
3800.0,0.0645575999479817,
3799.0,0.06225035205462779,
3798.0,0.057609332915361605,
3797.0,0.059860981654499254,-6.940012105937732e-05
3796.0,0.057554901219473244,-0.0004985834251344526
3795.0,0.057554901219473244,-0.0004985834251344526
3794.0,0.05524905413435257,-0.0004985834251344526
3793.0,0.05524905413435257,-0.0004985834251344526
3792.0,0.05524905413435257,-0.0004985834251344526
3791.0,0.05524905413435257,-0.0004985834251344526
3790.0,0.052943440351914506,-0.0004985834251344526
3789.0,0.0529701868091582,-0.0004985834251344526
3788.0,0.05299693864816789,-0.0004985834251344526
3787.0,0.053023695870564845,-0.0004985834251344526
3786.0,0.05533000970273114,-0.0004985834251344526
3785.0,0.055303019083196174,-0.0004985834251344526
3784.0,0.05527603389427978,-0.0004985834251344526
3783.0,0.0529701868091582,-0.0004985834251344526
3782.0,0.05066457302671922,-0.0004985834251344526
3781.0,0.043774949934985985,-0.0004985834251344526
3780.0,0.04608009725365639,-0.0004985834251344526
3779.0,0.05066457302671922,-0.0004985834251344526
3778.0,0.05524905413435257,-0.0004985834251344526
3777.0,0.05524905413435257,-0.0004985834251344526
3776.0,0.052943440351914506,-0.0004985834251344526
3775.0,0.052943440351914506,-0.0004985834251344526
3774.0,0.0529701868091582,-0.0004985834251344526
3773.0,0.05527603389427978,-0.0004985834251344526
3772.0,0.0529701868091582,-0.0004985834251344526
3771.0,0.05066457302671922,-0.0004985834251344526
3770.0,0.05066457302671922,-0.0004985834251344526
3769.0,0.052943440351914506,-0.0004985834251344526
3768.0,0.050638059824961015,-0.0004985834251344526
3767.0,0.048332912506290335,-0.0004985834251344526
3766.0,0.048332912506290335,-0.0004985834251344526
3765.0,0.050638059824961015,-0.0004985834251344526
3764.0,0.052943440351914506,-0.0004985834251344526
3763.0,0.05066457302671922,-0.0004985834251344526
3762.0,0.050638059824961015,-0.0004985834251344526
3761.0,0.050638059824961015,-0.0004985834251344526
3760.0,0.052943440351914506,-0.0004985834251344526
3759.0,0.052943440351914506,-0.0004985834251344526
3758.0,0.050638059824961015,-0.0004985834251344526
3757.0,0.052943440351914506,-0.0004985834251344526
3756.0,0.057554901219473244,-0.0004985834251344526
3755.0,0.05988842816147072,-0.0004985834251344526
3754.0,0.06452967526725831,-0.0004985834251344526
3753.0,0.07612644404415604,-0.0004985834251344526
3752.0,0.0923857991855481,-0.0004985834251344526
3751.0,0.1063532020432718,-0.0004985834251344526
3750.0,0.11795560412814361,-0.0004985834251344526
3749.0,0.12027035183690207,-0.0004985834251344526
3748.0,0.11564109152656482,-0.0004985834251344526
3747.0,0.1086989638874144,-0.00033535183013846227
3746.0,0.11098011247526432,-0.00011415545705023588
3745.0,0.11564109152656482,6.369670561790357e-05
3744.0,0.12490055276703865,0.00019172483693208564
3743.0,0.12486648328845086,0.0012473131834185402
3742.0,0.12013599599748087,0.002758646351432462
3741.0,0.12697601820079712,0.005596329780155342
3740.0,0.14317925283086227,0.00906617243907252
