cm-1,T_ref,A_ref,A_ref_norm
388.677,0.438,0.3585258894959005,0.11666395055027338
389.677,0.438,0.3585258894959005,0.11666395055027338
390.677,0.437,0.3595185630295782,0.11699591076678477
391.677,0.437,0.3595185630295782,0.11699591076678477
392.677,0.435,0.3615107430453627,0.11766211620788218
393.031927,0.435,0.3615107430453627,0.11766211620788218
394.031927,0.434,0.3625102704874893,0.11799636844171393
395.031927,0.433,0.36351210364663455,0.11833139173097805
396.031927,0.433,0.36351210364663455,0.11833139173097805
397.031927,0.433,0.36351210364663455,0.11833139173097805
397.386854,0.433,0.36351210364663455,0.11833139173097805
398.386854,0.433,0.36351210364663455,0.11833139173097805
399.386854,0.433,0.36351210364663455,0.11833139173097805
400.386854,0.43,0.36653154442041347,0.11934112371133362
401.386854,0.43,0.36653154442041347,0.11934112371133362
401.741781,0.43,0.36653154442041347,0.11934112371133362
402.741781,0.43,0.36653154442041347,0.11934112371133362
403.741781,0.43,0.36653154442041347,0.11934112371133362
404.741781,0.43,0.36653154442041347,0.11934112371133362
405.741781,0.43,0.36653154442041347,0.11934112371133362
406.096708,0.43,0.36653154442041347,0.11934112371133362
407.096708,0.43,0.36653154442041347,0.11934112371133362
408.096708,0.43,0.36653154442041347,0.11934112371133362
409.096708,0.43,0.36653154442041347,0.11934112371133362
410.096708,0.43,0.36653154442041347,0.11934112371133362
410.451635,0.429,0.36754270781527576,0.11967926712716873
411.451635,0.429,0.36754270781527576,0.11967926712716873
412.451635,0.429,0.36754270781527576,0.11967926712716873
413.451635,0.429,0.36754270781527576,0.11967926712716873
414.451635,0.429,0.36754270781527576,0.11967926712716873
414.806562,0.429,0.36754270781527576,0.11967926712716873
415.806562,0.427,0.36957212497497616,0.12035792505132045
416.806562,0.427,0.36957212497497616,0.12035792505132045
417.806562,0.426,0.3705904008972811,0.12069844696932137
418.806562,0.426,0.3705904008972811,0.12069844696932137
419.161489,0.426,0.3705904008972811,0.12069844696932137
420.161489,0.426,0.3705904008972811,0.12069844696932137
421.161489,0.425,0.37161106994968846,0.12103976917458692
422.161489,0.425,0.37161106994968846,0.12103976917458692
423.161489,0.425,0.37161106994968846,0.12103976917458692
423.516416,0.423,0.37365963262495766,0.12172482955561678
424.516416,0.423,0.37365963262495766,0.12172482955561678
425.516416,0.423,0.37365963262495766,0.12172482955561678
426.516416,0.422,0.37468754903832613,0.12206857535276039
427.516416,0.422,0.37468754903832613,0.12206857535276039
427.871343,0.42,0.37675070960209955,0.1227585174175101
428.871343,0.42,0.37675070960209955,0.1227585174175101
