cm-1,T_ref,A_ref,A_ref_norm
458.879,0.973,0.0118871597316481,0.00631800340991535
459.879,0.973,0.0118871597316481,0.00631800340991535
460.879,0.972,0.012333735073725434,0.006574088098468632
461.879,0.972,0.012333735073725434,0.006574088098468632
462.879,0.972,0.012333735073725434,0.006574088098468632
463.551912,0.972,0.012333735073725434,0.006574088098468632
464.551912,0.973,0.0118871597316481,0.00631800340991535
465.551912,0.973,0.0118871597316481,0.00631800340991535
466.551912,0.973,0.0118871597316481,0.00631800340991535
467.551912,0.973,0.0118871597316481,0.00631800340991535
468.224824,0.975,0.010995384301463193,0.005806622660060102
469.224824,0.975,0.010995384301463193,0.005806622660060102
470.224824,0.976,0.010550182333308194,0.005551325520661532
471.224824,0.976,0.010550182333308194,0.005551325520661532
472.224824,0.978,0.009661145212398569,0.005041515030092571
472.897735,0.978,0.009661145212398569,0.005041515030092571
473.897735,0.978,0.009661145212398569,0.005041515030092571
474.897735,0.979,0.009217308196862183,0.004787000610726419
475.897735,0.979,0.009217308196862183,0.004787000610726419
476.897735,0.979,0.009217308196862183,0.004787000610726419
477.570647,0.979,0.009217308196862183,0.004787000610726419
478.570647,0.979,0.009217308196862183,0.004787000610726419
479.570647,0.978,0.009661145212398569,0.005041515030092571
480.570647,0.978,0.009661145212398569,0.005041515030092571
481.570647,0.976,0.010550182333308194,0.005551325520661532
482.243559,0.976,0.010550182333308194,0.005551325520661532
483.243559,0.975,0.010995384301463193,0.005806622660060102
484.243559,0.975,0.010995384301463193,0.005806622660060102
485.243559,0.975,0.010995384301463193,0.005806622660060102
486.243559,0.975,0.010995384301463193,0.005806622660060102
486.916471,0.975,0.010995384301463193,0.005806622660060102
487.916471,0.975,0.010995384301463193,0.005806622660060102
488.916471,0.975,0.010995384301463193,0.005806622660060102
489.916471,0.975,0.010995384301463193,0.005806622660060102
490.916471,0.975,0.010995384301463193,0.005806622660060102
491.589383,0.975,0.010995384301463193,0.005806622660060102
492.589383,0.975,0.010995384301463193,0.005806622660060102
493.589383,0.975,0.010995384301463193,0.005806622660060102
494.589383,0.973,0.0118871597316481,0.00631800340991535
495.589383,0.973,0.0118871597316481,0.00631800340991535
496.262295,0.973,0.0118871597316481,0.00631800340991535
497.262295,0.973,0.0118871597316481,0.00631800340991535
498.262295,0.973,0.0118871597316481,0.00631800340991535
499.262295,0.973,0.0118871597316481,0.00631800340991535
