Wavelength,Flux
419.203,218.76108
419.421,212.61167
419.639,209.35784
419.856,265.30283
420.074,216.51716
420.292,182.13259
420.509,175.2167
420.727,168.96286
420.945,144.82139
421.162,205.42268
421.38,187.42631
421.597,233.54203
421.815,259.42378
422.033,158.71649
422.25,204.53505
422.468,223.50855
422.685,217.27722
422.903,230.61865
423.12,42.81431
423.337,185.4067
423.555,192.05071
423.772,156.18805
423.99,255.7014
424.207,152.80022
424.424,92.70884
424.642,254.85081
424.859,264.18839
425.076,277.75042
425.293,228.6562
425.511,169.06104
425.728,148.92192
425.945,200.48633
426.162,284.74532
426.379,207.53984
426.597,221.81224
426.814,182.29408
427.031,255.89811
427.248,281.49602
427.465,187.46945
427.682,217.3377
427.899,106.25867
428.116,169.31439
428.333,229.53356
428.55,237.7746
428.767,160.81549
428.984,178.75059
429.201,243.32741
429.418,297.36874
429.635,197.93838
429.852,240.84304
430.068,183.18688
430.285,95.87603
430.502,222.68394
430.719,248.44763
430.936,156.967
431.152,89.49512
431.369,251.82867
431.586,185.12244
431.802,208.99935
432.019,152.25223
432.236,96.86181
432.452,135.6251
432.669,60.94095
432.886,172.13426
433.102,175.72977
433.319,132.37948
433.535,216.7865
433.752,90.06174
433.968,43.8878
434.185,161.59609
434.401,179.91951
434.618,246.91716
434.834,214.80855
435.051,179.43135
435.267,202.63743
435.483,82.32781
435.7,106.67683
435.916,134.90144
436.132,102.74465
436.349,173.92109
436.565,63.37631
436.781,174.93105
436.997,-210.88648
437.214,42.99778
437.43,193.1646
437.646,92.65777
437.862,204.67701
438.078,187.67658
438.294,87.64663
438.51,165.4156
438.727,111.92235
438.943,103.65819
439.159,171.08573
439.375,151.9109
439.591,86.28931
439.807,67.74345
440.023,158.4996
440.239,150.07686
440.455,111.69394
440.67,155.98707
440.886,81.42714
441.102,69.34315
441.318,130.46833
441.534,103.68239
441.75,82.09313
441.966,67.04219
442.181,54.42621
442.397,118.77378
442.613,75.23746
442.829,167.01462
443.044,115.83209
443.26,18.53841
443.476,114.01348
443.691,101.43749
443.907,87.25773
444.123,106.43178
444.338,81.92201
444.554,105.76296
444.769,107.52374
444.985,118.35394
445.2,123.92278
445.416,131.35105
445.631,84.68318
445.847,114.39912
446.062,-12.09359
446.278,59.6511
446.493,-319.91184
446.708,70.89874
446.924,18.30843
447.139,81.47776
447.355,117.44021
447.57,37.29769
447.785,40.44419
448,126.44656
448.216,77.54477
448.431,70.88228
448.646,-10.48303
448.861,133.98645
449.077,153.19795
449.292,17.14846
449.507,103.59385
449.722,25.15431
449.937,127.98629
450.152,36.8206
450.367,106.2199
450.582,64.72207
450.797,154.00333
451.012,65.79284
451.227,74.10149
451.442,134.46346
451.657,165.38968
451.872,241.10002
452.087,169.70245
452.302,37.23441
452.517,167.54272
452.732,134.19378
452.947,215.22362
453.161,144.30492
453.376,137.63229
453.591,156.55005
453.806,198.58263
454.021,207.46694
454.235,54.33829
454.45,92.75696
454.665,196.5129
454.879,99.77242
455.094,180.3197
455.309,181.08866
455.523,161.20498
455.738,116.78385
455.952,120.02278
456.167,71.49552
456.382,96.18511
456.596,225.76704
456.811,152.29937
457.025,238.42592
457.24,187.18714
457.454,204.37888
457.668,170.8859
457.883,157.8213
458.097,201.88852
458.312,246.28592
458.526,114.80924
458.74,251.26258
458.955,108.68371
459.169,196.40459
459.383,153.52535
459.598,114.53767
459.812,154.74973
460.026,175.33663
460.24,178.5641
460.454,192.68396
460.669,177.26638
460.883,211.71692
461.097,297.78159
461.311,201.97591
461.525,182.43084
461.739,110.48123
461.953,176.89271
462.167,203.50699
462.381,226.22274
462.595,204.80965
462.809,228.0087
463.023,290.03993
463.237,209.21268
463.451,285.69913
463.665,180.31601
463.879,288.71908
464.093,220.81702
464.307,167.46859
464.52,260.48767
464.734,241.05202
464.948,244.55937
465.162,167.0883
465.376,186.47321
465.589,228.02596
465.803,253.85065
466.017,319.56083
466.231,158.88325
466.444,172.10145
466.658,187.85262
466.871,183.51544
467.085,215.09612
