wavelength_nm,intensity,source_count
345.386,-274.8970525,12
345.605,-274.8970525,12
345.824,-274.8970525,12
346.044,-270.93933749999997,12
346.263,-243.51748,12
346.482,28.170905,12
346.701,-40.71160416666667,12
346.92,13.423854166666667,12
347.139,-24.50416416666667,12
347.358,24.27197,12
347.577,123.58704916666666,12
347.796,21.287145,12
348.015,105.0898375,12
348.234,-95.66426166666668,12
348.453,-75.38561499999999,12
348.672,-25.875425000000003,12
348.891,-58.54150333333334,12
349.11,-18.6830325,12
349.329,153.7879258333333,12
349.548,23.032165000000003,12
349.767,173.41869999999997,12
349.986,210.16172916666665,12
350.205,49.075902500000005,12
350.424,5.121745833333332,12
350.643,26.443155833333336,12
350.862,27.531282500000003,12
351.08,273.95696749999996,12
351.299,104.09453833333335,12
351.518,32.543715,12
351.737,132.1157525,12
351.956,90.70711333333334,12
352.174,129.41354416666667,12
352.393,75.64206833333334,12
352.612,-23.472566666666665,12
352.831,103.44211,12
353.049,110.31771666666667,12
353.268,72.57434749999999,12
353.487,144.66100916666664,12
353.705,17.01680083333333,12
353.924,68.17865416666667,12
354.143,131.3910316666667,12
354.361,66.15197166666667,12
354.58,116.98166083333331,12
354.798,14.269026666666667,12
355.017,104.65576166666665,12
355.236,15.086529166666665,12
355.454,-18.821300833333336,12
355.673,81.14606416666665,12
355.891,259.1023525,12
356.11,18.747195,12
356.328,19.96871916666667,12
356.547,93.05897916666667,12
356.765,57.474289166666665,12
356.984,125.33826499999998,12
357.202,46.33134666666666,12
357.42,54.253420000000006,12
357.639,100.02801249999997,12
357.857,132.23252833333333,12
358.076,47.706624166666664,12
358.294,80.47461583333332,12
358.512,112.85911416666669,12
358.731,207.50787583333337,12
358.949,-8.048960000000001,12
359.167,199.2778158333333,12
359.386,394.4260808333334,12
359.604,30.983915000000007,12
359.822,141.21489333333332,12
360.04,149.73470833333334,12
360.259,85.89898,12
360.477,34.442038333333336,12
360.695,79.97538833333333,12
360.913,193.78393416666668,12
361.131,236.443925,12
361.35,143.91345916666663,12
361.568,58.10038666666666,12
361.786,172.1569175,12
362.004,181.19218083333337,12
362.222,94.44282916666667,12
362.44,178.41315083333333,12
362.658,147.81990249999998,12
362.876,238.87820250000001,12
363.094,111.95185583333334,12
363.312,133.57136333333332,12
363.53,215.57741666666666,12
363.749,138.30240666666666,12
363.967,135.62092833333332,12
364.184,41.29958666666666,12
364.402,155.41671916666664,12
364.62,111.91434416666668,12
364.838,29.26024166666667,12
365.056,102.01640250000001,12
365.274,115.86235416666669,12
365.492,64.10103249999999,12
365.71,13.850897500000002,12
365.928,118.88257916666664,12
366.146,174.54272666666668,12
366.364,209.67664583333328,12
366.581,144.3987441666667,12
366.799,123.87172416666665,12
367.017,160.4313475,12
367.235,82.25284166666667,12
367.453,123.08756499999998,12
367.67,91.14276583333333,12
367.888,96.52988416666666,12
368.106,229.48060250000003,12
368.323,844.6220066666665,12
368.541,110.26128416666667,12
368.759,118.663655,12
368.977,289.95356166666664,12
369.194,160.80984666666666,12
369.412,149.98228999999998,12
369.629,150.91937500000003,12
369.847,175.2059,12
370.065,176.35535500000003,12
370.282,120.85512333333337,12
370.5,199.41447833333334,12
370.717,206.18917166666662,12
370.935,170.95515333333333,12
371.152,100.15096916666668,12
371.37,206.89032999999998,12
371.588,230.48006583333333,12
371.805,167.23676,12
372.022,205.75555749999998,12
372.24,156.98024916666665,12
372.457,169.11908583333334,12
372.675,122.97725083333334,12
372.892,133.3325625,12
373.11,223.01336249999997,12
373.327,109.01995833333332,12
373.544,98.56538833333332,12
373.762,158.44310666666664,12
373.979,251.89717416666667,12
374.196,235.96898083333335,12
374.414,206.9215375,12
374.631,204.87144916666668,12
374.848,290.9173408333333,12
375.066,170.191125,12
375.283,118.7133075,12
375.5,84.61230666666667,12
375.717,278.97794333333337,12
375.935,214.66044833333333,12
376.152,268.9012958333334,12
376.369,164.7575683333333,12
376.586,144.55361249999999,12
376.803,363.8561083333334,12
377.02,250.51820583333327,12
377.238,166.00237666666666,12
377.455,194.66910249999998,12
377.672,232.88552666666666,12
377.889,124.24680916666667,12
378.106,101.69344416666667,12
378.323,128.48366666666664,12
378.54,157.19156999999998,12
378.757,217.14925749999998,12
378.974,160.48912500000003,12
379.191,325.3266058333334,12
379.408,199.2777833333333,12
379.625,164.50403333333335,12
379.842,149.68623750000003,12
380.059,144.71276583333335,12
380.276,201.8800916666667,12
380.493,145.24488749999998,12
380.71,191.33860166666668,12
380.927,278.36518333333333,12
381.143,258.01712249999997,12
381.36,233.3541958333333,12
381.577,183.65489583333328,12
381.794,236.95796166666665,12
382.011,263.2084541666666,12
382.228,235.0532425,12
382.444,218.9686991666667,12
382.661,206.76104333333328,12
382.878,184.48515583333335,12
383.095,163.532745,12
383.311,213.3337991666666,12
383.528,267.4243758333333,12
383.745,153.63734416666668,12
383.962,180.65950916666665,12
384.178,162.086325,12
384.395,198.95094749999998,12
384.612,227.26465166666662,12
384.828,305.10611166666666,12
385.045,173.90168916666664,12
385.261,256.1778591666667,12
385.478,252.54800333333333,12
385.695,193.71682083333334,12
385.911,163.47874,12
386.128,218.53530166666667,12
386.344,263.4953133333333,12
386.561,98.53319666666664,12
386.777,231.52034416666666,12
386.994,276.4652466666667,12
387.21,444.4403141666666,12
387.427,179.55726333333328,12
387.643,136.88176583333336,12
387.86,261.0341725,12
388.076,212.61358500000003,12
388.292,252.76016333333334,12
388.509,207.7426025,12
388.725,254.40476166666667,12
388.942,221.20578,12
389.158,148.7916675,12
389.374,180.7472991666667,12
389.591,246.83947250000003,12
389.807,228.93461083333338,12
390.023,282.9678841666667,12
390.239,202.75341333333333,12
390.456,206.09412749999998,12
390.672,294.21880416666664,12
390.888,147.85261333333332,12
391.104,427.4372283333332,12
