# Source: MESSENGER MASCS VIRS
# Product: VIRSND_OB2_12094_055036_DAT
# Type: DDR
# Target: MERCURY
# Observation: 2012-04-03T05:50:37 to 2012-04-03T06:15:11
# Units: wavelength_nm=dimensionless
#
wavelength_nm,reflectance
1210.9804,5.267457e-03
1215.4902,2.744453e-03
1220.0000,1.805059e-03
1224.5098,1.767301e-03
1229.0196,2.674732e-03
1233.5294,2.420591e-04
1238.0392,3.786249e-03
1242.5490,3.906802e-03
1247.0588,2.882323e-03
1251.5686,4.830505e-03
1256.0784,3.168644e-03
1260.5882,2.645899e-03
1265.0980,5.072539e-03
1269.6078,3.504291e-03
1274.1176,2.315129e-03
1278.6275,5.788804e-03
1283.1373,2.423647e-03
1287.6471,5.622800e-03
1292.1569,7.382812e-03
1296.6667,6.938700e-03
1301.1765,6.020117e-03
1305.6863,5.523218e-03
1310.1961,5.763213e-03
1314.7059,1.258406e-03
1319.2157,2.454381e-03
1323.7255,2.558651e-03
1328.2353,3.133899e-03
1332.7451,1.602311e-03
1337.2549,2.554733e-03
1341.7647,1.573215e-03
1346.2745,3.039961e-03
1350.7843,3.466891e-03
1355.2941,3.642517e-03
1359.8039,3.498717e-03
1364.3137,1.515397e-03
1368.8235,3.422820e-03
1373.3333,5.680809e-03
1377.8431,4.516715e-03
1382.3529,9.493565e-04
1386.8627,9.747972e-04
1391.3725,4.643207e-03
1395.8824,1.891423e-03
1400.3922,2.378839e-03
1404.9020,1.496438e-03
1409.4118,2.506883e-03
1413.9216,4.433436e-03
1418.4314,6.499322e-03
1422.9412,2.604657e-03
1427.4510,5.591316e-03
1431.9608,5.438108e-03
1436.4706,2.269492e-03
1440.9804,1.536121e-03
1445.4902,2.419700e-03
1450.0000,3.078371e-03
