CENTRALWAVELNG,PL_TRANDEP
0.75211,1.94939
0.75256,1.93665
0.75301,1.98057
0.75346,1.86592
0.75391,1.85962
0.75436,1.85134
0.75482,1.81259
0.75527,1.80187
0.75572,1.89339
0.75617,1.89055
0.75662,1.93139
0.75707,1.94753
0.75752,1.93578
0.75797,1.87178
0.75842,1.89843
0.75887,1.8589
0.75932,1.80884
0.75978,1.86035
0.76023,1.9514
0.76068,1.89979
0.76113,1.88079
0.76158,1.83951
0.76203,1.91811
0.76249,1.98049
0.76294,1.78816
0.76339,1.91382
0.76384,1.93696
0.76429,1.93252
0.76475,1.8628
0.7652,1.82709
0.76565,1.84506
0.7661,1.91392
0.76656,1.99276
0.76701,1.91203
0.76746,1.90875
0.76792,1.89336
0.76837,1.87725
0.76882,1.93215
0.76927,1.84018
0.76973,1.96307
0.77018,1.89307
0.77063,1.92046
0.77109,1.92862
0.77154,1.89103
0.772,1.87046
0.77245,1.99783
0.7729,1.8411
0.77336,1.87785
0.77381,1.86562
0.77427,1.91179
0.77472,1.89514
0.77517,1.88294
0.77563,1.97675
0.77608,1.85841
0.77654,1.95056
0.77699,1.84199
0.77745,1.95314
0.7779,1.88121
0.77836,1.82812
0.77881,1.99429
0.77927,1.90696
0.77972,1.93101
0.78018,1.87589
0.78063,1.84092
0.78109,1.89661
0.78154,1.83921
0.782,1.98007
0.78246,1.96286
0.78291,1.87546
0.78337,1.97731
0.78382,1.87973
0.78428,1.73179
0.78473,1.85158
0.78519,1.90904
0.78565,1.79012
0.7861,1.9344
0.78656,1.92686
0.78702,1.8603
0.78747,2.01764
0.78793,1.86324
0.78839,1.93867
0.78884,1.87255
0.7893,1.8677
0.78976,1.88358
0.79021,1.93054
0.79067,1.92437
0.79113,2.04234
0.79159,2.00122
0.79204,1.80152
0.7925,1.93036
0.79296,1.90883
0.79342,1.87056
0.79387,1.89935
0.79433,1.83384
0.79479,1.88237
0.79525,1.81643
0.79571,1.90623
0.79616,1.91639
0.79662,1.89748
0.79708,1.93005
0.79754,1.95182
0.798,1.90598
0.79846,1.91883
0.79891,1.86995
0.79937,1.90196
0.79983,2.01555
0.80029,1.8617
0.80075,1.8556
0.80121,1.92443
0.80167,1.92846
0.80213,1.88266
0.80259,1.92055
0.80304,1.92136
0.8035,1.91982
0.80396,1.94273
0.80442,1.80536
0.80488,1.79916
0.80534,1.85659
0.8058,1.88769
0.80626,1.84419
0.80672,1.87923
0.80718,1.88985
0.80764,1.86416
0.8081,1.97718
0.80856,1.89014
0.80902,1.93359
0.80948,1.99855
0.80994,1.91834
0.8104,1.92586
0.81086,1.85352
0.81132,1.87069
0.81179,1.97354
0.81225,1.86863
0.81271,1.84001
0.81317,1.96791
0.81363,1.88222
0.81409,1.87193
0.81455,1.92063
0.81501,1.84457
0.81547,1.97661
0.81593,1.91967
0.8164,1.86751
0.81686,1.91959
0.81732,1.96927
0.81778,1.82346
0.81824,1.89946
0.8187,1.85999
0.81917,1.89402
0.81963,1.87068
0.82009,1.82581
0.82055,1.8089
0.82101,1.92881
0.82148,1.90829
0.82194,1.933
0.8224,1.87033
0.82286,1.8903
0.82333,2.05562
0.82379,1.88351
0.82425,1.96778
0.82471,1.81288
0.82518,1.82382
0.82564,1.8556
0.8261,1.82713
0.82657,1.99322
0.82703,2.01231
0.82749,1.81534
0.82796,1.92244
0.82842,1.96518
0.82888,1.93225
0.82935,1.87022
0.82981,1.90648
0.83027,1.85028
0.83074,1.91979
0.8312,1.95097
0.83166,1.87062
0.83213,1.80297
0.83259,1.89179
0.83305,1.75532
0.83352,1.8567
0.83398,1.92721
0.83445,1.87062
0.83491,1.73094
0.83538,1.9072
0.83584,1.92147
0.8363,1.97371
0.83677,1.89385
0.83723,1.889
0.8377,1.92599
0.83816,1.87725
0.83863,1.95119
0.83909,1.95925
0.83956,1.98262
0.84002,1.83773
0.84049,1.90679
0.84095,1.9556
0.84142,1.90859
0.84188,2.02074
0.84235,1.94154
0.84281,1.93916
0.84328,1.8662
0.84374,1.9318
0.84421,1.96407
0.84468,1.8792
0.84514,1.98103
0.84561,1.89358
0.84607,1.91635
0.84654,1.92512
0.847,1.80244
0.84747,1.95807
0.84794,1.99563
0.8484,1.85226
0.84887,1.98626
0.84934,1.91611
0.8498,1.99143
0.85094,1.88367
0.85183,1.87335
0.85271,1.86918
0.85359,1.90127
0.85448,1.90027
0.85536,1.91328
0.85625,1.88038
0.85713,1.92288
0.8589,1.94659
0.85979,1.91784
0.86068,1.87993
0.86156,1.9495
0.88737,1.95058
0.88826,1.91019
0.88915,1.89893
0.89005,1.90745
0.89094,1.92783
0.89183,1.9136
0.89273,1.94194
0.89362,1.88101
0.89452,1.88026
0.89541,1.91038
0.89631,1.87513
0.8972,1.94832
0.8981,1.89206
0.899,1.88255
0.89989,1.89831
0.90168,1.85662
0.90258,1.94078
0.90348,1.87974
0.90438,1.88434
0.90527,1.94356
0.90617,1.87993
0.90707,1.85493
0.90797,1.93902
0.90886,1.81768
0.90976,1.8869
0.91066,1.91162
0.91156,1.86604
0.91246,1.8874
0.91336,1.95463
0.91426,1.86938
0.91516,1.92802
0.91606,1.85433
0.91696,1.92665
0.91786,1.95389
0.91876,1.86569
0.91966,1.9067
0.92056,1.84624
0.92146,1.88028
0.92236,1.83754
0.92327,1.91585
0.92417,1.87268
0.92507,1.96876
0.92597,1.91761
0.92688,1.89388
0.92778,1.86824
0.92868,1.92491
0.92958,1.91446
0.93049,1.92185
0.93139,1.92007
0.9323,1.85371
0.9332,1.95267
0.9341,1.94909
0.93501,1.88279
0.93591,1.82069
0.93682,1.89728
0.93772,1.90661
0.93863,1.87984
0.93953,1.90598
0.94044,1.88015
0.94134,1.90031
0.94225,1.89781
0.94316,1.87351
0.94406,1.81245
0.94497,1.88339
0.94588,1.87371
0.94678,1.93524
0.94769,1.91042
0.9486,1.92393
0.94951,1.88276
0.95041,1.90643
0.95132,1.93264
0.95223,1.89278
0.95314,1.86226
0.95405,1.86434
0.95496,1.86784
0.95587,1.9307
0.95677,1.90361
0.95768,1.92197
0.95859,1.90884
0.9595,1.85772
0.96041,1.93929
0.96132,1.88099
0.96223,1.89686
0.96315,1.89518
0.96406,1.92787
0.96497,1.88154
0.96588,1.84858
0.96679,1.8871
0.9677,1.86448
0.96861,1.89463
0.96953,1.86749
0.97044,1.86368
0.97135,1.86878
0.97226,1.91315
0.97318,1.90467
0.97409,1.88553
0.975,1.87664
0.97591,1.88698
0.97683,1.92762
0.97774,1.89082
0.97866,1.90223
0.97957,1.87231
0.98048,1.87237
0.9814,1.88712
0.98231,1.86418
0.98323,1.85578
0.98414,1.95368
0.98506,1.88998
0.98597,1.83327
0.98689,1.86977
0.98781,1.94968
0.98872,1.88464
0.98964,1.9065
0.99055,1.89441
0.99147,1.87044
0.99239,1.89757
0.9933,1.88113
0.99422,1.8584
