wavelength,intensity
341.572,16.49681936
341.764021,16.49681936
341.956042,16.49681936
342.148063,11.68416046
342.3400839,14.88002452
342.5321049,32.06284407
342.7241259,46.89090322
342.9161469,12.40585752
343.1081679,-44.84691293
343.3001889,-44.39643068
343.4922099,-19.24330552
343.6842309,-10.92553737
343.8762518,-11.48109383
344.0682728,13.25780774
344.2602938,-26.69096855
344.4523148,50.14339833
344.6443358,44.5603585
344.8363568,-2.741760638
345.0283778,-21.05790669
345.2203987,-11.65154293
345.4124197,-41.69147411
345.6044407,-36.44303621
345.7964617,-25.81495408
345.9884827,-32.518362
346.1805037,-17.33258905
346.3725247,-2.259962503
346.5645457,2.474158689
346.7565666,23.66348206
346.9485876,24.17718547
347.1406086,-43.57209238
347.3326296,-30.52080057
347.5246506,-42.20325739
347.7166716,-37.27148513
347.9086926,-16.0069865
348.1007135,-61.76658109
348.2927345,65.56114665
348.4847555,-6.09160057
348.6767765,-34.56261814
348.8687975,-31.75081854
349.0608185,-30.55418364
349.2528395,-40.69052771
349.4448605,-40.39072961
349.6368814,-19.36634277
349.8289024,-27.98151767
350.0209234,-18.51379171
350.2129444,19.74861792
350.4049654,34.82664214
350.5969864,0.456885063
350.7890074,-39.61677693
350.9810283,-15.33853304
351.1730493,6.894760711
351.3650703,-83.11736152
351.5570913,-99.90550367
351.7491123,-38.12182598
351.9411333,10.57433816
352.1331543,-22.04552851
352.3251753,-36.33601411
352.5171962,-4.436245421
352.7092172,12.66758931
352.9012382,22.3828368
353.0932592,17.72814505
353.2852802,-0.92627502
353.4773012,-11.2821618
353.6693222,31.36455559
353.8613431,-27.09916439
354.0533641,6.947484158
354.2453851,-51.6448999
354.4374061,-75.89588245
354.6294271,-13.88963535
354.8214481,23.1524563
355.0134691,14.05664323
355.2054901,-64.00278684
355.397511,-34.30325433
355.589532,1.647648225
355.781553,-6.122994175
355.973574,-14.73278221
356.165595,17.92501448
356.357616,-41.89837795
356.549637,-72.01236194
356.7416579,0.766756439
356.9336789,32.87379699
357.1256999,26.64015765
357.3177209,-0.042442446
357.5097419,-32.85507496
357.7017629,-35.65437549
357.8937839,-39.29802427
358.0858049,-7.613428066
358.2778258,41.56816157
358.4698468,59.5120251
358.6618678,27.19953957
358.8538888,-17.18927988
359.0459098,5.714726439
359.2379308,1.412582562
359.4299518,-43.54026102
359.6219727,-19.29293716
359.8139937,18.69721884
360.0060147,10.75617352
360.1980357,-15.82726967
360.3900567,38.90454962
360.5820777,38.43701804
360.7740987,-7.97315692
360.9661197,8.904418241
361.1581406,40.65040256
361.3501616,44.00334763
361.5421826,24.88294947
361.7342036,11.853785
361.9262246,-65.1046544
362.1182456,15.57679819
362.3102666,32.30834573
362.5022875,3.903858978
362.6943085,17.06981917
362.8863295,20.14079573
363.0783505,-69.49468958
363.2703715,-19.00983178
363.4623925,-54.89498412
363.6544135,-79.09204624
363.8464345,-48.02935969
364.0384554,12.83873446
364.2304764,36.08741048
364.4224974,12.53287429
364.6145184,58.0218704
364.8065394,12.15434523
364.9985604,-15.54811834
365.1905814,3.003753606
365.3826023,6.622465552
365.5746233,-11.52953471
365.7666443,-21.91990163
365.9586653,-1.696963201
366.1506863,57.88773482
366.3427073,7.477552184
366.5347283,-9.533589476
366.7267493,-27.7820509
366.9187702,-29.7011231
367.1107912,-6.739497371
367.3028122,9.14726074
367.4948332,-18.93730141
367.6868542,46.71137621
367.8788752,73.20911643
368.0708962,-16.31163805
368.2629171,-45.31840957
368.4549381,6.497354608
368.6469591,21.00581839
368.8389801,-13.31217889
369.0310011,0.406455106
369.2230221,-12.11757054
369.4150431,-5.964521826
369.6070641,-24.63379133
369.799085,-50.02428303
369.991106,-44.67848145
370.183127,-11.55906455
370.375148,13.36479476
370.567169,-17.06167956
370.75919,-80.46079784
370.951211,-33.34820737
371.1432319,37.90058559
371.3352529,11.73485208
371.5272739,-73.62546931
371.7192949,72.41363764
371.9113159,-12.88827962
372.1033369,-85.40717015
