Created as New Dataset,Sample 002 By Administrator Date Monday, October 27 2025
cm-1,%T
3649.00,101.17
3648.00,101.10
3647.00,101.02
3646.00,101.07
3645.00,101.17
3644.00,101.14
3643.00,101.03
3642.00,100.96
3641.00,100.98
3640.00,100.99
3639.00,100.95
3638.00,100.91
3637.00,100.92
3636.00,100.94
3635.00,100.85
3634.00,100.66
3633.00,100.54
3632.00,100.61
3631.00,100.75
3630.00,100.72
3629.00,100.60
3628.00,100.59
3627.00,100.70
3626.00,100.82
3625.00,100.81
3624.00,100.74
3623.00,100.80
3622.00,101.02
3621.00,101.24
3620.00,101.31
3619.00,101.25
3618.00,101.13
3617.00,101.04
3616.00,100.98
3615.00,100.90
3614.00,100.78
3613.00,100.70
3612.00,100.73
3611.00,100.78
3610.00,100.73
3609.00,100.62
3608.00,100.60
3607.00,100.73
3606.00,100.88
3605.00,100.94
3604.00,100.89
3603.00,100.80
3602.00,100.72
3601.00,100.67
3600.00,100.71
3599.00,100.80
3598.00,100.89
3597.00,100.93
3596.00,100.94
3595.00,100.93
3594.00,100.88
3593.00,100.82
3592.00,100.78
3591.00,100.79
3590.00,100.79
3589.00,100.80
3588.00,100.85
3587.00,100.95
3586.00,101.03
3585.00,101.02
3584.00,100.96
3583.00,100.90
3582.00,100.86
3581.00,100.85
3580.00,100.86
3579.00,100.87
3578.00,100.86
3577.00,100.83
3576.00,100.80
3575.00,100.79
3574.00,100.79
3573.00,100.78
3572.00,100.79
3571.00,100.82
3570.00,100.84
3569.00,100.82
3568.00,100.79
3567.00,100.84
3566.00,100.96
3565.00,101.04
3564.00,101.03
3563.00,100.97
3562.00,100.89
3561.00,100.85
3560.00,100.84
3559.00,100.83
3558.00,100.82
3557.00,100.80
3556.00,100.80
3555.00,100.79
3554.00,100.76
3553.00,100.73
3552.00,100.72
3551.00,100.76
3550.00,100.79
3549.00,100.79
3548.00,100.76
3547.00,100.75
3546.00,100.78
3545.00,100.82
3544.00,100.83
3543.00,100.82
3542.00,100.80
3541.00,100.77
3540.00,100.75
3539.00,100.75
3538.00,100.76
3537.00,100.75
3536.00,100.73
3535.00,100.73
3534.00,100.74
3533.00,100.72
3532.00,100.68
3531.00,100.66
3530.00,100.66
3529.00,100.67
3528.00,100.67
3527.00,100.70
3526.00,100.75
3525.00,100.75
3524.00,100.73
3523.00,100.71
3522.00,100.72
3521.00,100.73
3520.00,100.72
3519.00,100.69
3518.00,100.67
3517.00,100.65
3516.00,100.64
3515.00,100.63
3514.00,100.63
3513.00,100.63
3512.00,100.63
3511.00,100.64
3510.00,100.64
3509.00,100.64
3508.00,100.64
3507.00,100.65
3506.00,100.63
3505.00,100.60
3504.00,100.59
3503.00,100.62
3502.00,100.67
3501.00,100.68
3500.00,100.65
3499.00,100.61
3498.00,100.57
3497.00,100.55
3496.00,100.55
3495.00,100.57
3494.00,100.58
